Country_df1,Country_df2,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Turkmenistan,Turkmenistan,0.1348,22.57,16434.13991
Tuvalu,Tuvalu,1e-4,6.81,5352.978625
Uganda,Uganda,0.0124,0.31,2684.920359
Ukraine,Ukraine,0.0589,1.41,17846.4082
United Arab Emirates,United Arab Emirates,0.6985,64.99,67401.12129
United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,9.5769,143.22,51004.42717
United Republic of Tanzania,United Republic of Tanzania,1e-4,0.01,3493.083008
United States of America,United States of America,133.5058,405.46,71307.40173
Uruguay,Uruguay,0.1075,30.56,29431.88501
Uzbekistan,Uzbekistan,0.2183,6.61,9247.643827
Vanuatu,Vanuatu,1e-4,0.51,3135.836649
Venezuela,Venezuela,0.49370000000000003,17.93,NA
Viet Nam,Viet Nam,0.057,0.6,12048.90199
Yemen,Yemen,0.0098,0.31,NA
Zambia,Zambia,8e-4,0.04,3503.034914
Zimbabwe,Zimbabwe,0.0587,3.94,3184.784602
