Country,Severity,selected_Mean_total_billions,selected_SD_total_billions
Australia,Stage_III_IVT1_2,1.8968910172067823,0.6359734372908153
Australia,Stage_IVT3,0.43786069150728785,0.47095191568519695
Australia,Stage_IVT4,0.532394847812316,0.6015628442018853
Australia,Stage_I_II,0.7325074055038124,0.3915730417547173
Austria,Health,0.07757080374405545,0.05577044334885116
Austria,Stage_III_IVT1_2,0.6138922472175852,0.2638924408566116
Austria,Stage_IVT3,0.1404621328631202,0.15639077256522071
Austria,Stage_IVT4,0.1600674645806479,0.19998334823480313
Austria,Stage_I_II,0.170278407582465,0.102810825088199
Azerbaijan,Health,0.00116275456494975,0.00450817329658695
Azerbaijan,Stage_III_IVT1_2,0.00171166042128949,0.00694320181386515
Azerbaijan,Stage_IVT3,4.3272188447289304e-4,0.00243272695338886
Azerbaijan,Stage_IVT4,4.8452259066503303e-4,0.0031998490941577
Azerbaijan,Stage_I_II,0.00219489115964364,0.00805006116573139
Bahamas,Health,0.00255622360083392,0.00201000951944464
Bahamas,Stage_III_IVT1_2,0.00173949997181079,9.536756401893496e-4
Bahamas,Stage_IVT3,3.97426657676188e-4,4.674957335669699e-4
Bahamas,Stage_IVT4,4.736614026753827e-4,6.351391514794596e-4
Bahamas,Stage_I_II,0.00570736034210706,0.00386753832934792
Bahrain,Health,3.319487807855885e-4,0.00119283313395621
Bahrain,Stage_III_IVT1_2,9.220097475655078e-4,0.0032079232203458
Bahrain,Stage_IVT3,2.372321994293252e-4,0.00114040297338732
Bahrain,Stage_IVT4,2.6787507979100615e-4,0.00136400139987085
Bahrain,Stage_I_II,5.822148500719868e-4,0.00190622457189749
Bangladesh,Health,0.00911500776699713,0.05660295751205494
Bangladesh,Stage_III_IVT1_2,0.010181103282869,0.05454692547187233
Bangladesh,Stage_IVT3,0.00224770763871964,0.01690323557304574
Bangladesh,Stage_IVT4,0.00262788151840622,0.02030555597405887
Bangladesh,Stage_I_II,0.01630548225772903,0.09679617646156036
Barbados,Health,3.2639840575784707e-4,5.081792077077006e-4
Barbados,Stage_III_IVT1_2,0.00107027449428655,0.0013768743032097
Barbados,Stage_IVT3,3.159055894366312e-4,7.282971356499992e-4
Barbados,Stage_IVT4,4.283689023900464e-4,9.885567168087565e-4
Barbados,Stage_I_II,5.836787880993117e-4,7.601781661186394e-4
Belarus,Health,0.00115725106040272,0.00407905045206435
Belarus,Stage_III_IVT1_2,0.00247083360542002,0.00885956468872371
Belarus,Stage_IVT3,6.563828846675585e-4,0.0042807354833206
Belarus,Stage_IVT4,6.943119761214903e-4,0.00334563133688769
Belarus,Stage_I_II,0.00222594430269253,0.00738810683355326
Belgium,Health,0.10359801591805484,0.07296815655385598
Belgium,Stage_III_IVT1_2,0.5333972815327217,0.2407462072463787
