Country,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,iso3c,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
Austria,high,0.8495068390568121,0.21560221477021344,0.1485489099166707,0.07922086774066797,0.09111353393511908,0.07254828888793212,0.8495068390568121,0.21560221477021344,0.1485489099166707,0.07922086774066797,0.09111353393511908,0.07254828888793212,0.8495068390568121,0.21560221477021344,0.1485489099166707,0.07922086774066797,0.09111353393511908,0.07254828888793212,0.18524302341928084,0.11773284922580318,0.03944096483512793,0.03521023794969345,0.04392902903280438,0.04710651309342827,0.00978035560514682,0.01709860140090169,0.00265966709583571,0.00792868775527879,6.770270327307252e-4,0.00195117568205998,0.930485275942703,0.22365581834388337,0.29307340929552783,0.12518373170535504,0.09184830507448744,0.08058755229736331,2.1157,236.39,AUT,8982311.518103808,400434.1362788835,0.0960227654285242,0.0113342763671809,0.139690631560241,0.01941850314055014,45775.6169848758,55805.1702329595,39649.9453029265
Azerbaijan,low,0.00566143772588734,0.01140785857770916,0.00124532057833097,0.00431562378367282,4.360891555429696e-4,0.00144521443378342,0.522900141187672,0.18759614828498317,0.16741506735680595,0.11700389116965385,0.05218558532275043,0.05318495909392678,0.4633674078590269,0.17457489606010265,0.08090061736517278,0.06220796395425421,0.05389939791817002,0.05423089224930846,0.10433190047289471,0.07522186915782564,0.02103539970450341,0.02261552408883947,0.02892215600434823,0.03771460537407707,0.00566143772588734,0.01140785857770916,0.00124532057833097,0.00431562378367282,4.360891555429696e-4,0.00144521443378342,0.522900141187672,0.18759614828498317,0.16741506735680595,0.11700389116965385,0.05218558532275043,0.05318495909392678,0.1268,12.61,AZE,10500168.38135049,746362.6611711634,0.0564361304348065,0.00638858129209275,0.1208522372852858,0.01754103510097394,15638.851191204,16961.4463113149,14630.5552453253
Bahamas,mid,0.00711223065027722,0.00487045249966817,0.00173136612432009,0.0017011140877213,0.00209089060531721,0.00259057135799607,0.03382486792788371,0.01019203132839901,0.01292114099901162,0.00683900612201405,0.00406202893425787,0.00379584243225775,0.02959075814580807,0.0089518616988577809,0.00671031335477958,0.00383659955958429,0.00407581683864409,0.003703177699687,0.00711223065027722,0.00487045249966817,0.00173136612432009,0.0017011140877213,0.00209089060531721,0.00259057135799607,4.0704316116212667e-4,8.101728792658437e-4,1.070930013881892e-4,3.525645369742227e-4,3.748665519807369e-5,1.6030948841628585e-4,0.03382486792788371,0.01019203132839901,0.01292114099901162,0.00683900612201405,0.00406202893425787,0.00379584243225775,0.0329,75.3,BHS,387965.7168254832,27904.051158737915,0.0487259521060088,0.00598056278534045,0.1864530323196796,0.01960897665521134,28557.3055534091,34382.8290932221,24686.7465616672
Bahrain,mid,0.03576758579693593,0.02226215802260302,0.00783722560295207,0.00662743198264237,0.00949973107236859,0.01067586517443404,0.17850406356787307,0.04339611142064371,0.06050142592043427,0.02593906611488636,0.01856752259750612,0.01520277039350346,0.15638516656860477,0.04017031264883144,0.02932233243075285,0.01470881019350753,0.01818614379439525,0.01507108562485353,0.03576758579693593,0.02226215802260302,0.00783722560295207,0.00662743198264237,0.00949973107236859,0.01067586517443404,0.0020354004396044,0.00403263317653634,4.947573824591643e-4,0.00149983694678773,1.5645446545246687e-4,5.261544767916045e-4,0.17850406356787307,0.04339611142064371,0.06050142592043427,0.02593906611488636,0.01856752259750612,0.01520277039350346,0.0625,41.36,BHR,1529596.6255871265,58725.727166381315,0.0400881427677888,0.00515489542270785,0.1615020233440481,0.02440508023222455,46823.8996179104,54824.4848975146,37267.7981719125
Bangladesh,low,0.05319915732978914,0.17031042789961404,0.01625925794236757,0.08286411939337926,0.00592042977782935,0.02912533330062995,5.505136158347938,3.510209663955014,2.6625269834947805,2.659149901711393,0.8189108652830313,1.1106699330925505,4.292563747895264,2.852001806811996,1.225722421547276,1.4179743306974135,0.8601214155686461,1.1296588289916334,1.1095204711304256,1.100621967142529,0.2694863079728035,0.4386035823799553,0.44334241878909,0.7298864899003479,0.05319915732978914,0.17031042789961404,0.01625925794236757,0.08286411939337926,0.00592042977782935,0.02912533330062995,5.505136158347938,3.510209663955014,2.6625269834947805,2.659149901711393,0.8189108652830313,1.1106699330925505,0.0125,0.08,BGD,164636116.46495664,10561801.940562516,0.010103418325721,0.0013060935988477,0.1912459113047284,0.0194780477960805,4969.9936846605,5239.64833791227,4509.86007828207
Barbados,mid,0.00339970206558478,0.00260381892560368,8.223702477726278e-4,9.385987468904662e-4,0.00125630549597159,0.00172501882242892,0.01659618949056639,0.00702603338638321,0.00722437092724328,0.00543409922473175,0.00235859891352809,0.00237529890611026,0.01386171605242622,0.00592842948519185,0.00383575388220376,0.00287893567155092,0.00248613607065586,0.00262112292254383,0.00339970206558478,0.00260381892560368,8.223702477726278e-4,9.385987468904662e-4,0.00125630549597159,0.00172501882242892,1.914844676751372e-4,4.486612253789088e-4,6.42875225746075e-5,2.5478591347594457e-4,1.8416561590652817e-5,7.128981326417046e-5,0.01659618949056639,0.00702603338638321,0.00722437092724328,0.00543409922473175,0.00235859891352809,0.00237529890611026,0.0152,52.8,BRB,299024.7964714803,21644.704150214675,0.0849187395341054,0.01031689369293914,0.2015399332670672,0.01882145670124334,13220.5464372559,15550.9245795284,9463.97093024592
Belarus,low,0.00618162384359457,0.01208823565272092,0.0013574936117275,0.0039347525297862,5.913781737740567e-4,0.00210707764022362,0.5836315250977779,0.2005591574234721,0.22642477886582815,0.1374686875427717,0.07070327042203499,0.07174628879384479,0.49161005697843063,0.17090300304331918,0.10829624133881292,0.07259637555764652,0.06814594957072007,0.06727838737152955,0.12333514211250196,0.08433363779604268,0.02995349652882909,0.03192146754225184,0.03461221226653253,0.04352497872495595,0.00618162384359457,0.01208823565272092,0.0013574936117275,0.0039347525297862,5.913781737740567e-4,0.00210707764022362,0.5836315250977779,0.2005591574234721,0.22642477886582815,0.1374686875427717,0.07070327042203499,0.07174628879384479,0.1371,14.47,BLR,9324657.46768948,648450.7410378968,0.0813095064323887,0.00843724893395895,0.1635935886780656,0.01896070708058225,18938.0402406794,22107.1719968615,16916.921060223
Belgium,high,1.1589892477396715,0.3335847603175747,0.2821296025186038,0.14374356523332066,0.17777935244928136,0.15649371491706873,1.1589892477396715,0.3335847603175747,0.2821296025186038,0.14374356523332066,0.17777935244928136,0.15649371491706873,1.1589892477396715,0.3335847603175747,0.2821296025186038,0.14374356523332066,0.17777935244928136,0.15649371491706873,0.2912754458485581,0.19946326362233427,0.07478172925183421,0.07180635619077698,0.08537262287532728,0.09273110947624248,0.01548843779864995,0.02662626598792897,0.00473343402378044,0.0134405006657212,0.00145519232287466,0.00433326162768968,1.396177957112971,0.3884146278615857,0.5666745880744226,0.24096617106154683,0.18235657776950445,0.15443424960877158,2.1221,185.2,BEL,11469271.627594749,546122.7297307095,0.0997101779711234,0.01089086504318354,0.2121946653128384,0.01790856569372945,44361.1550300858,52576.0095664984,38423.1267177806
Belize,mid,0.00301256824224359,0.0024442626056732,6.579660113175959e-4,9.334759204978963e-4,9.503689373611548e-4,0.00142466834445393,0.01490015805839718,0.00725205870993337,0.00537868915764984,0.00490648525275571,0.00188818530902022,0.00236447240213688,0.01316849753873023,0.00649820612611568,0.00287427025755289,0.00255865743058908,0.00186044705321496,0.00220327441907757,0.00301256824224359,0.0024442626056732,6.579660113175959e-4,9.334759204978963e-4,9.503689373611548e-4,0.00142466834445393,1.8533224772098963e-4,4.5744310086876086e-4,5.469590927636885e-5,2.35409972207634e-4,1.4648402351186103e-5,7.141000712858086e-5,0.01490015805839718,0.00725205870993337,0.00537868915764984,0.00490648525275571,0.00188818530902022,0.00236447240213688,0.0057,14.08,BLZ,429074.7047737778,29937.17608377154,0.03653710394867,0.0041134273294413,0.1282651973214638,0.01672565972034954,8307.65960232389,9903.99734193359,6203.91698040609
Benin,low,0.00245400375178126,0.01200679410828739,7.360357528457406e-4,0.0039244050352248,1.506548207557969e-4,0.00121722160035599,0.2456083582098064,0.22097665707889583,0.105968184566228,0.14108783129836636,0.03540458913893002,0.06148281013703365,0.2151200679685729,0.19198201912600285,0.05399409404759647,0.07065899709842095,0.0410453239182578,0.05517610932713728,0.05320214437337727,0.06242033676237737,0.01147490303721846,0.02250998757768617,0.01951949240175331,0.03940216638152053,0.00245400375178126,0.01200679410828739,7.360357528457406e-4,0.0039244050352248,1.506548207557969e-4,0.00121722160035599,0.2456083582098064,0.22097665707889583,0.105968184566228,0.14108783129836636,0.03540458913893002,0.06148281013703365,0.0033,0.28,BEN,13499174.524550674,821293.885972254,0.012579659929951,0.00151887955633374,0.1176176440854838,0.01437762570825389,2858.7932376016,3391.39601434204,2254.68281579745
