Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Brunei Darussalam,6.992620311980037e-4,0.00125287473835441,1.4242403475967595e-4,4.266161985748575e-4,4.4233015450580134e-5,1.5418985630598673e-4,low,0.0091,20.35,78248.79711
Bulgaria,0.00641463077439177,0.01313797785327135,0.00201675660361365,0.00691149044267847,6.174674921618948e-4,0.00238979055378623,low,0.1094,15.72,30971.91319
Burkina Faso,0.00405939907987531,0.02018556021225259,0.00171701291537526,0.01176065172635933,4.8475386192114675e-4,0.0038682890897117,low,0.0046,0.23,2486.430931
Burundi,0.00140694888958609,0.01146646897300309,7.837112535034182e-4,0.00653930622402962,2.299746975128325e-4,0.00216202168214249,low,0.0013,0.12,836.6655713
Cabo Verde,1.6450720545861064e-4,4.71126646493815e-4,4.513024346789043e-5,2.226965896102938e-4,1.3232199706042118e-5,7.428333659697121e-5,low,0.0034,6.12,7685.419214
Cambodia,0.00500088722142419,0.01675614027960425,0.00173120800353957,0.00911262349765149,4.6071878171866977e-4,0.00275631496930509,low,1e-4,0.01,6225.532655
Cameroon,0.00666140845081844,0.02462492992413202,0.00200667733588115,0.01136946351716014,5.756974143475696e-4,0.00377142305572694,low,0.0066,0.26,4793.556282
Canada,5.656112199049625,1.4396214333352932,2.30158797811008,0.5479099355646806,1.3452759716021483,0.6718092768628655,high,12.8291,342.52,56995.11768
Central African Republic,1.297062857708364e-4,0.00311279822920879,3.2548064086247045e-5,2.427447960820376e-4,8.216619800106723e-6,7.226509096571433e-5,low,0.0011,0.22,1128.55238
Chad,0.00336215806007646,0.01660749317714766,0.00151039663157261,0.0100697174765239,4.2597525847587535e-4,0.00311190387978635,low,0.0034,0.26,2435.072747
Chile,0.02339824136940727,0.04094719378911551,0.00680851579524867,0.01985480017909783,0.00122656371989013,0.0040988782511075,low,0.4696,24.58,29089.85046
China,23.728027151064452,6.190635832022364,8.522350536106401,2.196482326936057,7.2542336933430285,3.661743487228552,high,61.5486,43.96,20843.29783
Colombia,0.02532632118481016,0.05404302404024389,0.00627883362300574,0.02484905007642442,0.00185176422927614,0.00796839866457498,low,0.7051,14,17383.09017
Comoros,2.1791928917937065e-4,9.76624223605696e-4,9.883103586465404e-5,6.553179841217594e-4,3.1479711422420914e-5,2.142856119456487e-4,low,3e-4,0.3,3449.043575
Congo,0.00104317559894458,0.00366368610280405,1.8266042894514776e-4,0.00101420818175295,5.4196479980776696e-5,2.965624783934065e-4,low,0.0047,1.03,6263.211613
Costa Rica,0.06193420995337964,0.04431352977116919,0.01439481011440779,0.01573366068654667,0.01849015802467839,0.0241840489198572,mid,0.1617,31.84,23852.9253
Croatia,0.0621706810534329,0.04032828627121145,0.01320220669885477,0.01304925005129111,0.01618064062972399,0.01945440349103548,mid,0.1494,36.8,36930.47013
Cuba,0,0,0,0,0,0,high,0.3044,26.85,NA
Cyprus,0.00180518358156156,0.00345472275442615,5.400787340838149e-4,0.00173151742442812,1.6463380618837243e-4,6.18362932622709e-4,low,0.0126,14.41,48781.27734
Czechia,0.35575897571944703,0.13072736092758092,0.03414353153329819,0.01600974488352392,0.01875716201276258,0.01315306187356223,high,0.8438,79.32,47796.03374
Côte d'Ivoire,0.00971359669661959,0.0315321426759502,0.00388280127766664,0.02003898873322034,0.00107939182754333,0.00606560450930746,low,0.0066,0.25,6045.204805
Democratic Republic of the Congo,0.01030670783732059,0.06861808939165462,0.00466537341737545,0.035749851935829,0.00139981555676308,0.01189736259308871,low,0.0229,0.23,1313.618218
Denmark,0.8228153057352354,0.22863370958171617,0.35143164300167207,0.12604762938059078,0.19038506143631423,0.11608218299310076,high,1.8676,321.67,69715.18097
Djibouti,3.1656535529689915e-4,0.00102305082004906,8.507969759121322e-5,4.563451398369311e-4,2.3890314024818125e-5,1.360649064863236e-4,low,8e-4,0.76,5960.108074
Dominica,4.775639680028945e-4,3.4788571018734825e-4,8.325263805649813e-5,1.0429997999263756e-4,1.1304367125100416e-4,1.621201978892637e-4,mid,0.0019,26.92,15808.97435
Dominican Republic,0.00451740482306569,0.01155792709530501,2.347879363711079e-4,9.028981574840714e-4,6.954985235294354e-5,2.892183691310759e-4,low,0.0823,7.94,22053.45899
Ecuador,0.00900648236702087,0.02120179677690285,0.00281328755532767,0.01138812108178538,8.372806328467632e-4,0.00393073429292632,low,0.1257,7.28,13507.44456
Egypt,0.03675000892463868,0.0937888619238024,0.0036017578524092,0.01451310567437755,0.0010992449426013,0.00512883025307241,low,0.3293,3.32,15579.01609
