Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,iso3c,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,selected_model,Mean_total_billions,Mean_perio_billions,Mean_replace_billions,SD_total_billions,SD_perio_billions,SD_replace_billions,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Montenegro,0.03620521367391956,0.01275104853180803,0.00693227436976824,0.00484847745882383,0.00447066427896607,0.00450667403611739,0.00809794120303872,0.00556882502297895,0.0017262963793896,0.00188026118138383,0.00223193872670474,0.00286154890876166,4.6386382108709893e-4,9.208315631057664e-4,1.1438210129629013e-4,3.85462861883781e-4,3.573464801908307e-5,1.3428922826335185e-4,0.04112887087974353,0.01437246821980799,0.01396011028647349,0.00922655418824058,0.00442676794221159,0.00454961463949947,0.0057,9.18,MNE,618060.3127515384,41495.66649758967,0.0939563069436163,0.0106652243466505,0.1320704292148203,0.01771137470131391,18069.6182034713,19828.2300039147,16441.4091782016,low,NA,NA,NA,NA,NA,NA,4.6386382108709893e-4,9.208315631057664e-4,1.1438210129629013e-4,3.85462861883781e-4,3.573464801908307e-5,1.3428922826335185e-4
Morocco,1.3945286226626632,0.7112090999540067,0.33287088146019556,0.3172988760400672,0.2264075957229819,0.2757171965595935,0.33631764521080504,0.2903370034049435,0.07612444109420041,0.10657267619431536,0.11254197273103736,0.17590220497786524,0.01760075359747906,0.04356753715749962,0.00569889682458701,0.02532829483028528,0.00156250165789995,0.00742311497221159,1.676084026467467,0.8411389828170212,0.6921005416047753,0.6179356218602494,0.22501767650441937,0.27561584490503327,0.0821,2.31,MAR,37176612.160753556,2066891.06894508,0.062788050463892,0.00710728983809429,0.1536647191890136,0.01769688686605726,8172.37487801905,8652.50960721195,7399.83937008148,low,NA,NA,NA,NA,NA,NA,0.01760075359747906,0.04356753715749962,0.00569889682458701,0.02532829483028528,0.00156250165789995,0.00742311497221159
Mozambique,0.2293441614731192,0.4748536535514642,0.05221945072861655,0.08373878098262731,0.0413842822660845,0.06873867511823459,0.05852396934316589,0.11758012895611836,0.01073677177233383,0.02995271709758602,0.02158492533216524,0.04722861862940101,0.00232290088782091,0.01066985561398206,7.747907252446443e-4,0.00535062800478536,2.513927945285429e-4,0.00153163588367235,0.2913083105524331,0.4903690432712835,0.11842043409971212,0.1824741690641588,0.04237644519478117,0.07260973539535864,0.0049,0.16,MOZ,31072654.145003386,1433510.733110607,0.0088362241852907,0.00110872121348605,0.0535332337529428,0.01040249544949345,1127.4491249963,1196.12286381751,1044.23695549865,low,NA,NA,NA,NA,NA,NA,0.00232290088782091,0.01066985561398206,7.747907252446443e-4,0.00535062800478536,2.513927945285429e-4,0.00153163588367235
Myanmar,1.1873151574166736,0.960041405857202,0.17485233170450573,0.2055451160201091,0.1246095947997576,0.1785922253723196,0.2383939015793602,0.2316363994032809,0.03883193293734915,0.0678887133328946,0.05987767275377048,0.10268120132000756,0.01427574320535456,0.0565390706061649,0.00263352380025595,0.01617412301925785,8.297485189679764e-4,0.00420946208261925,1.303904506045206,0.9515605563781744,0.3669854725838349,0.4023328237870374,0.12301182869304,0.1766526772111296,4e-4,0.01,MMR,56419669.800016105,3185755.0984214097,0.0208452549877185,0.00245207219662974,0.0663888163680545,0.0109680779611585,4598.01067818968,5504.75463654514,3860.28778696559,low,NA,NA,NA,NA,NA,NA,0.01427574320535456,0.0565390706061649,0.00263352380025595,0.01617412301925785,8.297485189679764e-4,0.00420946208261925
Namibia,0.07146380245743485,0.04036386314602905,0.00725001840467586,0.00675777543204117,0.00493268835140336,0.00592199727632235,0.01340236115725502,0.01124143801121947,0.00171845740822184,0.00237110649840135,0.00251217223917634,0.0041407661168835,8.221264500496029e-4,0.00224795977542507,1.1915065700657528e-4,5.231887936660287e-4,3.637495441710067e-5,1.7988628554280102e-4,0.07451090154013787,0.0384918246353994,0.01487268793222318,0.01311069375821822,0.00496060314933278,0.00596248995475377,0.0028,1.13,NAM,2431170.480528513,148527.22692063544,0.0547587071755136,0.00776908798463315,0.0503934988967217,0.00871680791406019,8586.66098353743,9395.85975161371,7866.19586626648,low,NA,NA,NA,NA,NA,NA,8.221264500496029e-4,0.00224795977542507,1.1915065700657528e-4,5.231887936660287e-4,3.637495441710067e-5,1.7988628554280102e-4
Nauru,3.133637619006993e-4,1.9642398862074133e-4,1.2670367019159146e-5,1.21737582506986e-5,8.521412353491664e-6,1.0484794647991376e-5,5.000070129451157e-5,4.926205157207718e-5,2.9616566830702995e-6,4.187155473570277e-6,4.288888231481778e-6,6.550973894987113e-6,3.3658242428609227e-6,1.111348397108206e-5,1.984798849160621e-7,8.398768002532244e-7,6.190652269493747e-8,3.4554444122977545e-7,3.024037927976984e-4,1.758235686332328e-4,2.6792477414634258e-5,2.4000122732752916e-5,8.412095897511325e-6,1.0069933919109512e-5,2e-4,14.8,NRU,11024.434578766884,710.0483344861286,0.0253555086267992,0.00300009653538674,0.0191086252844588,0.00416593483909425,8878.98985736505,10684.3231993122,7170.61697068886,mid,NA,NA,NA,NA,NA,NA,5.000070129451157e-5,4.926205157207718e-5,2.9616566830702995e-6,4.187155473570277e-6,4.288888231481778e-6,6.550973894987113e-6
Nepal,0.574871738680995,0.5070919490299562,0.1432224670953769,0.18081370543272904,0.10492509268122772,0.1635074412251278,0.14665669132967615,0.16756317086152192,0.03173314974983576,0.06289157453045,0.05415845118015267,0.10886908181885108,0.00754110453622053,0.0367658220341092,0.0022399345061339,0.01417091388992792,7.218569984619208e-4,0.00528907674064547,0.7360003964728544,0.5983910247154007,0.31603710006961017,0.3956505952884835,0.1083249110491041,0.1732772595562677,0.0891,3.13,NPL,31129811.76450214,2100644.9199356977,0.0096292603179526,0.00127660711235174,0.1165495126801512,0.018841741695874,3012.58525408193,3183.51935971812,2716.02314545218,low,NA,NA,NA,NA,NA,NA,0.00754110453622053,0.0367658220341092,0.0022399345061339,0.01417091388992792,7.218569984619208e-4,0.00528907674064547
Netherlands,2.022007232828842,0.5185404621826337,0.35759515071982223,0.17844443810513091,0.21529885862287704,0.17523188705321627,0.44402562169433,0.27654650773029704,0.09407439211078784,0.08372689122959509,0.1094072657589642,0.1231598988222423,0.02618080855812269,0.04607226555181418,0.00620367005037781,0.01960565308232571,0.00181828906417932,0.00621256618660854,2.244769688999608,0.5563802058093908,0.7019677697334722,0.30139988183951416,0.2156740764058651,0.1817489082204139,3.6785,213.48,NLD,17210661.798023704,841215.6196910329,0.1235982362189929,0.01378947714196215,0.133248525620886,0.01950021904505265,50854.5558228663,57134.8954317383,46558.0603758302,high,NA,NA,NA,NA,NA,NA,2.022007232828842,0.5185404621826337,0.35759515071982223,0.17844443810513091,0.21529885862287704,0.17523188705321627
New Zealand,0.5341476278918067,0.15083496600514676,0.11566958674209944,0.06196807569533945,0.07170957841889355,0.06006433188386013,0.12673157255359563,0.0820869056968357,0.03010784133015799,0.02823299105452881,0.03585951061684322,0.04026466115410791,0.00709831297993942,0.01272935745366247,0.0019978031999374,0.00624890142106165,5.798968375283772e-4,0.00190337548747365,0.6221706179565754,0.16996564650010054,0.22873905113594045,0.10716086670128017,0.07203884001367658,0.06140154090193203,0.5353,106.27,NZL,5169513.535649297,218964.19734071055,0.1041427473725236,0.01248980603764854,0.1727443401799636,0.01867430763224925,37847.9437624007,43285.6868110153,34654.9274916527,mid,NA,NA,NA,NA,NA,NA,0.12673157255359563,0.0820869056968357,0.03010784133015799,0.02823299105452881,0.03585951061684322,0.04026466115410791
Nicaragua,0.17368087644130747,0.11517636683832327,0.03988669158391954,0.04591091522640025,0.02789258240220041,0.03682246518076061,0.04067840392293684,0.03951177192796679,0.0087992387486629,0.0152758038255672,0.01353862953067336,0.02410440315062269,0.00207355892014876,0.00629423169393034,6.095289885625081e-4,0.00366496382968375,1.7327494939410322e-4,8.950230409967111e-4,0.20910010056962816,0.13078816974838947,0.08238033078288944,0.08734217435365699,0.02747975149470684,0.0374894695073543,0.0314,4.81,NIC,6668976.123793645,552903.270596853,0.0453895557818755,0.0048277580881512,0.1209033023083025,0.01702717169165269,5107.06421118468,5521.38950883788,4844.59174271744,low,NA,NA,NA,NA,NA,NA,0.00207355892014876,0.00629423169393034,6.095289885625081e-4,0.00366496382968375,1.7327494939410322e-4,8.950230409967111e-4
Niger,0.16676244816276162,0.4263246203691632,0.03231411618211909,0.05166751677809222,0.02574293182825775,0.04361274374544625,0.03949596086472978,0.07552020237880741,0.00652254985462366,0.01998234782020044,0.01281075890637627,0.02692648672137752,0.00194248350894397,0.01796265045520467,5.457142045679702e-4,0.00571011871794367,1.6300096306499242e-4,9.973450071265391e-4,0.19713228169480804,0.3492573507428833,0.07159192771293507,0.1074997902275824,0.02523479939507702,0.04374845751027084,1e-4,0.01,NER,25038186.779425785,1496375.8856467027,0.011532016157965,0.00134396362122895,0.0406684020553075,0.00839099346242264,1130.56457300736,1283.02302386495,894.457316025131,low,NA,NA,NA,NA,NA,NA,0.00194248350894397,0.01796265045520467,5.457142045679702e-4,0.00571011871794367,1.6300096306499242e-4,9.973450071265391e-4
Nigeria,4.458154765567115,4.067161036981845,0.36365849245465254,0.4284259095406835,0.2562579422724884,0.37413271452831726,0.7918288570749662,0.9684450534310136,0.07865809131029886,0.1450126978814795,0.12606319787795495,0.2220503248184595,0.04609546395340384,0.16959305226815372,0.0057682123132764,0.02808077176206206,0.00171212003222431,0.0090716252470675,4.473248897872895,3.6047231120884713,0.7605457842878699,0.828374647889219,0.2482774194390876,0.34195505630647366,0.1375,0.68,NGA,231165679.26551884,13414045.75754483,0.0095836975502565,8.367959472327501e-4,0.0327730228941567,0.0067907934792273,4777.84779522506,5048.92148418468,4616.01403704431,low,NA,NA,NA,NA,NA,NA,0.04609546395340384,0.16959305226815372,0.0057682123132764,0.02808077176206206,0.00171212003222431,0.0090716252470675
Niue,5.8918191287332187e-5,2.947833342867082e-5,3.9739115098407415e-6,3.434587224501608e-6,2.619281689411188e-6,2.9833263213491834e-6,9.941863071603111e-6,8.117179539502454e-6,9.666388753773702e-7,1.2565127875053713e-6,1.286227555845734e-6,1.9621847771761453e-6,6.664292572600246e-7,1.753917624654407e-6,6.926555387852534e-8,2.94126883669059e-7,2.0276517987809183e-8,8.860800950566722e-8,5.915475534891837e-5,2.7848366373123525e-5,8.038606500765339e-6,6.3215771126181474e-6,2.6452559727056503e-6,3.024993386188181e-6,NA,NA,NIU,1671.672525170104,104.5548997142215,0.0414087697313575,0.00556646069404119,0.0349442354198656,0.006749220714052,11399.2915237799,12406.9458326551,10290.7822331783,low,NA,NA,NA,NA,NA,NA,6.664292572600246e-7,1.753917624654407e-6,6.926555387852534e-8,2.94126883669059e-7,2.0276517987809183e-8,8.860800950566722e-8
North Macedonia,0.10772490526156688,0.04312947798430155,0.02186584067276401,0.01718963354922103,0.01411600879930625,0.01511874281034423,0.02463322972753926,0.01817111000688411,0.0052318448194233,0.00619839639564833,0.00714496654403299,0.00996278207161735,0.00136916802285385,0.00310307078146795,3.780611251476892e-4,0.00155127520727022,1.054493508487407e-4,4.2074169786913165e-4,0.12398224848613548,0.04853655709935177,0.04405261528085128,0.03186796237653214,0.01406205351654807,0.01485756757640271,0.0319,15.34,MKD,2176435.003604734,205771.4814476606,0.101901856992842,0.01185927173123544,0.13136598614102,0.01832498278892046,14213.135135604,16337.4545247358,12887.4315139784,low,NA,NA,NA,NA,NA,NA,0.00136916802285385,0.00310307078146795,3.780611251476892e-4,0.00155127520727022,1.054493508487407e-4,4.2074169786913165e-4
Northern Mariana Islands,0.00198256354062539,8.732942688761055e-4,1.450583868916365e-4,1.1856478992902296e-4,9.428753049834884e-5,1.034626791552401e-4,3.4257215953804914e-4,2.551653706998651e-4,3.5493500644863416e-5,4.251003345855246e-5,4.8665022846751986e-5,6.943431601366387e-5,2.1854811701551057e-5,5.129379315525847e-5,2.281471600758877e-6,8.657726472111616e-6,6.971312463127834e-7,2.762112666518111e-6,0.0019947679773623,8.193322126280714e-4,2.9672369747582865e-4,2.2218850699954704e-4,9.651367421704002e-5,1.0448115316582408e-4,NA,NA,MNP,48492.16163286782,1819.533620644543,0.0281579657396819,0.00382071857020264,0.0409599711316248,0.00813528391525585,13428.1010476016,14659.3860898403,12049.4496460727,low,NA,NA,NA,NA,NA,NA,2.1854811701551057e-5,5.129379315525847e-5,2.281471600758877e-6,8.657726472111616e-6,6.971312463127834e-7,2.762112666518111e-6
Norway,0.9306665577901266,0.24939417128685365,0.2253884787095357,0.10362828585797804,0.1331141338352952,0.10376268760645208,0.2317549966163533,0.15235378492756968,0.05995919790154953,0.05241800738868021,0.06668524666657707,0.07139310028032468,0.01300744769732841,0.02306040466817406,0.00388888466314248,0.01167446686241668,0.0012277612444577,0.0040853154424776,1.1014057647524729,0.2721228267867164,0.43666005544242503,0.16108363903220915,0.13546502718256018,0.10704583482303072,2.1691,404.99,NOR,5418070.186696545,272363.8091546367,0.088904292651955,0.00818235211417075,0.2173441536047683,0.01901584639279209,69674.1236274809,89573.0974693992,59590.2983945389,high,NA,NA,NA,NA,NA,NA,0.9306665577901266,0.24939417128685365,0.2253884787095357,0.10362828585797804,0.1331141338352952,0.10376268760645208
Oman,0.49546175151691063,0.13327685223692168,0.08380315179792595,0.04643988413713697,0.05254381347065306,0.0461060962699816,0.10695232944275604,0.06800939131103753,0.02187305227238645,0.02080163175695161,0.02635673300598654,0.03179536736856088,0.006234038409682,0.01163518005841823,0.00142624425335852,0.00478653733443166,4.571771443573138e-4,0.00193475031109259,0.543291672188116,0.14178356875840495,0.16425301785567084,0.07968764874151815,0.05091974853635529,0.04367116454567633,0.1327,30.82,OMN,4703760.372627607,178576.73143588612,0.0293650333829981,0.00356213304587729,0.1356158808069097,0.02427932752157195,38673.3983293269,48145.8014787942,26908.5719678947,low,NA,NA,NA,NA,NA,NA,0.006234038409682,0.01163518005841823,0.00142624425335852,0.00478653733443166,4.571771443573138e-4,0.00193475031109259
Pakistan,7.3360830402168755,4.783241848824833,2.0506463491960933,2.243535244723805,1.447675896998632,1.9459563249982224,1.910801059453964,1.8343841095454343,0.4654891840179768,0.7492717309863645,0.7198999684676441,1.1888164297277408,0.09762139204770462,0.3195166750468563,0.03579690727821805,0.1896801523892334,0.00997448698280213,0.05808859017446534,9.376875545504683,5.946179982133384,4.368192032199829,4.611790355931883,1.455417459809905,2.0179133236559945,0.0489,0.24,PAK,235553608.2681269,10609774.92134954,0.0154147496139107,0.00178019736170724,0.1807520251123264,0.014117845539819091,5088.43984291579,5690.33486559989,4707.39588954845,low,NA,NA,NA,NA,NA,NA,0.09762139204770462,0.3195166750468563,0.03579690727821805,0.1896801523892334,0.00997448698280213,0.05808859017446534
