Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,fits_high,fits_mid,fits_low,selected_Mean_total_billions,SD_total_billions,selected_model
Belgium,1.1272684883400916,0.3060383804948272,0.4351840186057711,0.17570172136066764,0.23633377127644728,0.1431469589198165,0.23811987630549009,0.14439020661220986,0.04886094231435161,0.04403173262597624,0.05770512270213017,0.0620787560138101,0.01544787476449001,0.02667820829038313,0.00322686178228235,0.00943737399617473,0.00106997724336032,0.00358333021508827,2.1221,185.2,60669.21377,TRUE,TRUE,TRUE,1.1272684883400916,0.3060383804948272,high
Belize,0.00846024331697031,0.0039940225407841,0.00237579297846956,0.00187450192298977,0.00137966139890349,0.00132998114268778,0.00195725885302324,0.00152848518254636,2.3143217952730703e-4,3.1819470165916767e-4,3.529317585016109e-4,5.100858622469415e-4,1.3541650343285537e-4,3.3167134001953354e-4,1.7231807504418687e-5,6.907901869740695e-5,5.154245581435144e-6,2.540470514448688e-5,0.0057,14.08,11677.46101,FALSE,TRUE,TRUE,0.00195725885302324,0.00152848518254636,mid
Benin,0.4242788075612672,0.3279639117187759,0.2078422885496932,0.24732912764835163,0.1365312716949151,0.18222104509284257,0.0722740408661998,0.09105976120993306,0.01751372336513159,0.03836916021688641,0.03195790313846673,0.06286203531792973,0.00366203585815621,0.01543599930065112,0.00130676473598061,0.00779322156928338,4.565561896498297e-4,0.00242699093741173,0.0033,0.28,3464.288629,FALSE,FALSE,FALSE,0.00366203585815621,0.01543599930065112,low
Bhutan,0.02613073508391748,0.01205175548714388,0.00973149895679768,0.00740066740022133,0.00611668720711029,0.00585338026121653,0.00555645926397266,0.00424317555869516,0.00106052231079114,0.00139710443036809,0.00144319213449835,0.00212721671947947,3.414773820420218e-4,8.185159531570517e-4,7.131440238360204e-5,2.923506794945937e-4,2.225343472617744e-5,1.0051479728725932e-4,0,0.06,13458.81267,FALSE,FALSE,FALSE,3.414773820420218e-4,8.185159531570517e-4,low
Bolivia,0.39195345892077493,0.20834697590739,0.1645677043706765,0.1461447186671302,0.10429862242820633,0.10523422061316778,0.07660669918617619,0.06417445357530399,0.01671617657813698,0.02558945616857189,0.02438830965966905,0.03702116793301605,0.00445916846382129,0.01184126143501048,0.00107920689412909,0.00606757675989766,3.9682913981223527e-4,0.00176830981976302,0.0482,4.17,9454.198147,FALSE,FALSE,TRUE,0.00445916846382129,0.01184126143501048,low
Bosnia and Herzegovina,0.1423855645925258,0.05597913366831642,0.05614888075342754,0.03743412010853035,0.03348105353222976,0.02791992186501766,0.02887608530804806,0.02086059875573711,0.00586584544885503,0.00705685976585962,0.0080119053700908709,0.01102491104734771,0.00177820954474315,0.00344434261050943,3.8279901616735816e-4,0.00139138370070485,1.279894160323887e-4,5.099363366188105e-4,0.0727,20.75,18285.67112,FALSE,TRUE,TRUE,0.02887608530804806,0.02086059875573711,mid
Botswana,0.08086665284301295,0.02272079032610546,0.01498991691604465,0.00412967556501785,0.0056761246295142,0.00331007877547744,0.02067218726382372,0.01281626543807093,0.00170175668082199,0.00141685211743362,0.00137910003128115,0.00141179703946064,0.0015112970950336,0.00291764986253934,1.1163807917704264e-4,2.8785042912559734e-4,2.5515173915936125e-5,7.882633978872332e-5,0.0574,24.15,17960.62544,FALSE,TRUE,TRUE,0.02067218726382372,0.01281626543807093,mid
Brazil,9.11648430016064,2.048743166179893,3.0593410555814824,0.8506407674625952,0.9292560435748368,0.4742505710063016,1.9691372295335376,1.0903257796155628,0.35424579014575613,0.29731074274088504,0.23016922820846877,0.22586827557139924,0.15495907806653314,0.2582718721815124,0.02383149306926132,0.06775597761088402,0.00457135830608376,0.01430994874294093,3.7128,17.68,18075.706,FALSE,TRUE,TRUE,1.9691372295335376,1.0903257796155628,mid
Brunei Darussalam,0.0518957038555269,0.01339333575706987,0.01862598826896507,0.00666422735170768,0.01003941084485928,0.00588414177981413,0.01120205034874007,0.00654586263265332,0.00208760876240901,0.00177244306322329,0.00243250908780545,0.0026269540543573,7.393033289142614e-4,0.00127590984474883,1.356962396437951e-4,3.924650072342662e-4,4.83874459559901e-5,1.7595882442193088e-4,0.0091,20.35,78248.79711,FALSE,FALSE,TRUE,7.393033289142614e-4,0.00127590984474883,low
Bulgaria,0.5958976572120539,0.20936455760308076,0.2664490269044924,0.13372278197258716,0.15061364350550954,0.11431991052521384,0.1176547580008456,0.08588082307165229,0.02964788060921219,0.03210842179411536,0.03859819963006329,0.04761781835482033,0.0064107672040749,0.01151660095163053,0.00182860522455612,0.00596751746388764,5.940613357794166e-4,0.00200851585360332,0.1094,15.72,30971.91319,FALSE,FALSE,TRUE,0.0064107672040749,0.01151660095163053,low
Burkina Faso,0.5234471931390864,0.4221646759932879,0.25671458805120045,0.3290198862294419,0.17251477224224995,0.22087514343323392,0.09324246217559123,0.11846910237698158,0.0222135378769134,0.05113731792881668,0.04110025994392856,0.07606028768517988,0.0041684581395824,0.01956594587752839,0.00145638784484693,0.00970024169692742,4.615874555414382e-4,0.00300791426530038,0.0046,0.23,2486.430931,FALSE,FALSE,FALSE,0.0041684581395824,0.01956594587752839,low
Burundi,0.22727232394448477,0.25035924364642287,0.12587636733216828,0.1920304669733311,0.08091038965337291,0.1284119089885858,0.03965179881406831,0.0668503234735058,0.00996388911658708,0.03077020222315737,0.02113461891282839,0.04453862213764428,0.0010729347581901,0.01021291438523337,6.507340417583039e-4,0.00594139674262357,2.185615107057758e-4,0.00196610370426761,0.0013,0.12,836.6655713,FALSE,FALSE,FALSE,0.0010729347581901,0.01021291438523337,low
Cabo Verde,0.015094000413447,0.00829135299572258,0.0062005696830667,0.00565328441440093,0.00376600187014796,0.00407332971474327,0.00309739233874358,0.0028079765968271,6.11024702147637e-4,9.684389131818794e-4,9.890200232795232e-4,0.00158699858781545,1.6998460058370669e-4,4.766049975198895e-4,4.249231030711707e-5,2.201505644230017e-4,1.319676130461128e-5,5.5784228887554255e-5,0.0034,6.12,7685.419214,FALSE,FALSE,TRUE,1.6998460058370669e-4,4.766049975198895e-4,low
Cambodia,0.5172455865765615,0.299378203390182,0.23989967076903032,0.2251497611359758,0.14105111684993504,0.15783957209593572,0.09256655781897528,0.09303142217489165,0.02142910300347862,0.03688431851774695,0.03208813618618214,0.05572516471980748,0.00532388931538849,0.01607900370066776,0.00172729734258938,0.00865434576663982,4.8159965262255407e-4,0.00235170240047282,1e-4,0.01,6225.532655,FALSE,FALSE,FALSE,0.00532388931538849,0.01607900370066776,low
Cameroon,0.6390117488816621,0.4467666281386142,0.2708389078372674,0.30027970488329603,0.17938196535766232,0.216300315887368,0.1313916318940674,0.1471333569154366,0.02706086816209134,0.05422089606302822,0.0436203227239804,0.0906146104790198,0.00651828400869477,0.02227538621302011,0.00220817731783088,0.01147508100075276,5.683533144449037e-4,0.00406908944631068,0.0066,0.26,4793.556282,FALSE,FALSE,FALSE,0.00651828400869477,0.02227538621302011,low
Canada,5.711271497243713,1.4584656826687663,2.315650985151311,0.5410009334397012,1.3671246607983794,0.7014372919092219,1.2503913361995904,0.7955071736309102,0.28094864438763567,0.21495252467720383,0.34466832656402385,0.33054790132641926,0.06654129841140947,0.11659584888103336,0.01675871176901209,0.04465551943201105,0.00502268544239878,0.01546015619712722,12.8291,342.52,56995.11768,TRUE,TRUE,TRUE,5.711271497243713,1.4584656826687663,high
Central African Republic,0.01728559591752384,0.03727267995343259,0.00468104174174048,0.00706419884309826,0.00321497366508166,0.0047984329264333,0.00430247423675706,0.01421125356802485,3.5625847196528974e-4,0.00116349538827508,7.542434275364333e-4,0.0017486790349643,1.6069900763139453e-4,0.00308282374465383,3.648318888644961e-5,2.2569482402355276e-4,9.896634623925447e-6,7.50275046265398e-5,0.0011,0.22,1128.55238,FALSE,FALSE,TRUE,1.6069900763139453e-4,0.00308282374465383,low
Chad,0.42135889162766815,0.3493846236069186,0.2079593855138843,0.2711679815936878,0.13761489079217237,0.18314939395597352,0.07738738919023198,0.1063667747983672,0.01891725851660566,0.05091076432760057,0.03642085599927984,0.07004511362166205,0.00373957138260066,0.01459477546370203,0.00181082414615289,0.0081628457541604409,3.903589992075488e-4,0.00271542949964949,0.0034,0.26,2435.072747,FALSE,FALSE,FALSE,0.00373957138260066,0.01459477546370203,low
Chile,1.8461889763239077,0.4414658768226593,0.8542265004766469,0.25177689282668037,0.2609734443932763,0.14984778848052607,0.3732353509332331,0.22132197840934267,0.10331577369931122,0.0862694662222511,0.06824844777320346,0.07159729261472354,0.02302215052601218,0.03891708324909336,0.0067742965698905,0.01748478342453787,0.00121247182061258,0.00383790839096811,0.4696,24.58,29089.85046,FALSE,FALSE,TRUE,0.02302215052601218,0.03891708324909336,low
China,23.800109291566233,6.147740569594015,8.560153268603003,2.244617864156398,7.261641707941143,3.647220914795418,5.298742700887011,3.389772363793067,1.1928112383179186,0.9927795106109648,1.8704054672621535,1.8847187435429649,0.26629079612023704,0.447362740047851,0.06847418561088434,0.1573627212822408,0.02400877473393898,0.06450915652342613,61.5486,43.96,20843.29783,TRUE,TRUE,TRUE,23.800109291566233,6.147740569594015,high
Colombia,2.089013470767508,0.8393604284047648,0.8168022931902785,0.5259219616190924,0.4848150816840622,0.4306034309056989,0.4388383585296048,0.32163924958090273,0.09132645059958149,0.1147870318334012,0.12274180152012892,0.17868310089705766,0.02558804279733714,0.05233441871349079,0.00593297029217779,0.02171047806998793,0.00201008284437595,0.01132219586493434,0.7051,14,17383.09017,FALSE,FALSE,TRUE,0.02558804279733714,0.05233441871349079,low
Comoros,0.02979504015886836,0.0238234918755643,0.01524339643769771,0.0181120224570251,0.00975621805646277,0.01271466130504289,0.00519623880468064,0.00664820255107683,0.00146740124029627,0.00315004384149604,0.00237168156080679,0.0045849149758789,1.7443405189841892e-4,7.703984541737137e-4,7.532738467578625e-5,4.3949254869871227e-4,3.324732995944752e-5,1.8803077268393165e-4,3e-4,0.3,3449.043575,FALSE,FALSE,TRUE,1.7443405189841892e-4,7.703984541737137e-4,low
Congo,0.07987725356552221,0.04908787456087191,0.02540537925219841,0.02566931837547146,0.01607441440914175,0.01813235748108091,0.01823966711708425,0.01875897113323525,0.00261352199999458,0.00475680917012729,0.00416068559555291,0.00734313831477121,9.726091247652676e-4,0.00330623394389102,1.7791656253152562e-4,8.42255059891466e-4,5.459343879789168e-5,2.6266340147561653e-4,0.0047,1.03,6263.211613,FALSE,FALSE,TRUE,9.726091247652676e-4,0.00330623394389102,low
Costa Rica,0.3055312136559041,0.11044667708795332,0.1296829763576436,0.07439294637491332,0.07443030878376537,0.05965510147982988,0.06399512190700005,0.045324872214984,0.01508324348756031,0.01676940047469808,0.01939752415607681,0.02565008919171501,0.0034137190305122,0.00631639534003817,9.72568113018551e-4,0.0028563208296886,3.0047952605398437e-4,0.00110664280065736,0.1617,31.84,23852.9253,FALSE,TRUE,TRUE,0.06399512190700005,0.045324872214984,mid
Croatia,0.29637638491079904,0.09316364777946204,0.11560139885251088,0.05490145632165659,0.0654522239096815,0.04741597085850641,0.0631669971659759,0.0396754951805294,0.01361243373545952,0.0133732059212494,0.01658510284318849,0.0195050637619838,0.00363861202897615,0.0061606497666865,8.983643700793212e-4,0.00263737505902234,2.64484753393562e-4,7.75451627800266e-4,0.1494,36.8,36930.47013,FALSE,TRUE,TRUE,0.0631669971659759,0.0396754951805294,mid
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3044,26.85,NA,TRUE,TRUE,TRUE,0,0,high
Cyprus,0.15568902928884318,0.04755552599115461,0.06756801105828508,0.0281906913667268,0.03768230487407721,0.02553958078431855,0.03232294588226521,0.02136720786998196,0.00835345555667301,0.00752170833373556,0.009465033576956,0.01081642044638839,0.00178961920884487,0.00304978755515959,5.219341865297048e-4,0.00133577770606394,1.6250004171160871e-4,4.617933506707253e-4,0.0126,14.41,48781.27734,FALSE,FALSE,TRUE,0.00178961920884487,0.00304978755515959,low
