Country,Severity,selected_Mean_total_billions,selected_SD_total_billions
Argentina,Stage_III_IVT1_2,0.28926587786627467,0.3460947488014706
Argentina,Stage_IVT3,0.08100326418922403,0.16019570764728622
Argentina,Stage_IVT4,0.10173005893173212,0.2255913870772195
Argentina,Stage_I_II,0.1545527711175854,0.1877649338554644
Armenia,Health,0.00322106765649614,0.00526192916784472
Armenia,Stage_III_IVT1_2,0.01060030975954468,0.01409079853811331
Armenia,Stage_IVT3,0.00301502403564913,0.00590968474931881
Armenia,Stage_IVT4,0.00374906299054998,0.00814790216515677
Armenia,Stage_I_II,0.00569610732710717,0.00753466419202963
Australia,Health,0.396863384103421,0.25649299202714765
Australia,Stage_III_IVT1_2,2.22457559384991,0.7687166032439451
Australia,Stage_IVT3,0.4853063998204676,0.5141078852023963
Australia,Stage_IVT4,0.6506474865107938,0.7126120054936095
Australia,Stage_I_II,0.8580780959700501,0.4528721958399099
Austria,Health,0.08182207832091926,0.05632427215839401
Austria,Stage_III_IVT1_2,0.43268266960509144,0.19814590602687532
Austria,Stage_IVT3,0.0950530989368438,0.10513734865866892
Austria,Stage_IVT4,0.12023605598144664,0.13970533249790557
Austria,Stage_I_II,0.18076433607257889,0.10718999909486768
Azerbaijan,Health,0.00129714838891978,0.00587037843892444
Azerbaijan,Stage_III_IVT1_2,0.00218489357212133,0.00901389074815064
Azerbaijan,Stage_IVT3,4.4169830730504407e-4,0.0023988788520086
Azerbaijan,Stage_IVT4,5.645439512898335e-4,0.00301100744893145
Azerbaijan,Stage_I_II,0.00202626099854527,0.00705743853511639
Bahamas,Health,0.00211749611840938,0.00167032205982255
Bahamas,Stage_III_IVT1_2,0.02041727675821646,0.01105706995503414
Bahamas,Stage_IVT3,0.0044692358472109,0.00522003773463816
Bahamas,Stage_IVT4,0.00564445437512025,0.00721248598913729
Bahamas,Stage_I_II,0.00463541234242424,0.00303026878024651
Bahrain,Health,4.601161624706749e-4,0.00165607169288702
Bahrain,Stage_III_IVT1_2,0.00108489420498993,0.0035327178935988
Bahrain,Stage_IVT3,2.295155931677395e-4,0.00124987507041633
Bahrain,Stage_IVT4,2.7748705943425784e-4,0.00138811802639384
Bahrain,Stage_I_II,7.441318580603676e-4,0.00234263856929811
Bangladesh,Health,0.00800356381932647,0.05492360407467196
Bangladesh,Stage_III_IVT1_2,0.03617876044159475,0.184738986872178
Bangladesh,Stage_IVT3,0.0062543218869391,0.05483806568980928
Bangladesh,Stage_IVT4,0.00937940282399841,0.07355767921054644
Bangladesh,Stage_I_II,0.01250952498086353,0.06450189762145728
Barbados,Health,2.929253726976833e-4,4.603226599593453e-4
Barbados,Stage_III_IVT1_2,0.00159964612537862,0.00215140851734452
Barbados,Stage_IVT3,4.341284337350693e-4,8.96457039739382e-4
Barbados,Stage_IVT4,5.980590365015517e-4,0.00138895720770807
Barbados,Stage_I_II,5.311705251699994e-4,6.864409917762111e-4
Belarus,Health,0.00121210634728968,0.00465233070741884
Belarus,Stage_III_IVT1_2,0.00251369585267177,0.00974397199522651
Belarus,Stage_IVT3,5.446612219421304e-4,0.00314306474371627
Belarus,Stage_IVT4,6.324734209340061e-4,0.00327044241811086
Belarus,Stage_I_II,0.00194075644239056,0.00668119281780994
Belgium,Health,0.10174377705668164,0.07166411624459333
Belgium,Stage_III_IVT1_2,0.8816940925100573,0.3821458891383352
Belgium,Stage_IVT3,0.19766310870539233,0.21633805580219015
Belgium,Stage_IVT4,0.24549643345190697,0.2808838398545308
Belgium,Stage_I_II,0.22783428751919288,0.13521418434106208
Belize,Health,5.096208497212725e-4,9.617137065271954e-4
Belize,Stage_III_IVT1_2,0.00188419018569909,0.00264633364002498
Belize,Stage_IVT3,5.0531034172503e-4,0.00108090336709506
Belize,Stage_IVT4,6.626263557531091e-4,0.00153444669146743
Belize,Stage_I_II,8.774970560389883e-4,0.00130227358320242
Benin,Health,5.484963651584298e-4,0.00674664225994041
Benin,Stage_III_IVT1_2,0.00159231028990752,0.01404825624608938
Benin,Stage_IVT3,3.383112604632643e-4,0.00353407734252101
Benin,Stage_IVT4,4.559451981888379e-4,0.00328972012930756
Benin,Stage_I_II,9.497541033778152e-4,0.00940638656120615
