Region,Superregion,iso3c,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,fits_high,fits_mid,fits_low,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Year,Level,Country
Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.5613993507092565,0.22399463914517467,0.22917745076099907,0.14140284504498515,0.13308017861404792,0.1238443117240672,0.11554255191038608,0.08313944560162634,0.02461322567781723,0.02969817568989227,0.03237830779641431,0.04649501413060952,0.00671271399311948,0.0141508148764886,0.00181687726140077,0.00795033972012894,5.096491875614688e-4,0.00187309281861936,0.1268,12.61,20111.3757,NA,NA,NA,0.00671271399311948,0.0141508148764886,0.00181687726140077,0.00795033972012894,5.096491875614688e-4,0.00187309281861936,low,2035,3,Azerbaijan
Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.5815947503377608,0.22927628674068948,0.23895704988467137,0.15054639904938083,0.13751644198303964,0.11559434182672212,0.1195396143533108,0.08706116673590346,0.02584599994566036,0.03089305277378395,0.03568486371777783,0.04828923135064753,0.00651454521818128,0.01335828037743275,0.00189966053061945,0.00802411148914674,4.8029829708222193e-4,0.00200243001311637,0.1268,12.61,20111.3757,NA,NA,NA,0.00651454521818128,0.01335828037743275,0.00189966053061945,0.00802411148914674,4.8029829708222193e-4,0.00200243001311637,low,2040,3,Azerbaijan
Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.593182894299246,0.23253281014279523,0.2493478390233693,0.15735954954650477,0.1397986963400072,0.1183957438014664,0.12043959721433264,0.0903614871038331,0.02681659266905664,0.02956787304366393,0.03593506613879984,0.049511434473489,0.00685957933181614,0.01432096712831067,0.00191944530103818,0.00769589489595846,5.637743596352255e-4,0.00211121238011947,0.1268,12.61,20111.3757,NA,NA,NA,0.00685957933181614,0.01432096712831067,0.00191944530103818,0.00769589489595846,5.637743596352255e-4,0.00211121238011947,low,2045,3,Azerbaijan
Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.5941323940316241,0.2340677924521728,0.2503373337232306,0.15562079769447343,0.1435097437126939,0.12041768482466408,0.12145467934001002,0.08724859958157524,0.0276161660526949,0.03209718025918645,0.03583305297090335,0.04828899524254401,0.00653315382273445,0.01350717723687547,0.00185994640702633,0.00682546987250538,5.686919090378652e-4,0.00217533723669481,0.1268,12.61,20111.3757,NA,NA,NA,0.00653315382273445,0.01350717723687547,0.00185994640702633,0.00682546987250538,5.686919090378652e-4,0.00217533723669481,low,2050,3,Azerbaijan
Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,0.15254027970208123,0.05977652589140822,0.05936874295248738,0.03847840422353308,0.03428624060908303,0.02903624742220398,0.03215139355476901,0.02281188830680833,0.00644013403711169,0.00757564634824743,0.00857673821461388,0.01186886187130177,0.00187822170752265,0.00401788951201135,4.487702784810045e-4,0.0018227407025957,1.337967075977314e-4,5.525861346646637e-4,0.0116,3.13,18915.6534,FALSE,FALSE,TRUE,0.00187822170752265,0.00401788951201135,4.487702784810045e-4,0.0018227407025957,1.337967075977314e-4,5.525861346646637e-4,low,2021,3,Georgia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,0.16694965345648957,0.06594727152559735,0.0676610929428934,0.04350586970595099,0.03863244332494901,0.03351454918507959,0.03447269986352717,0.02508242795400951,0.00749855009084286,0.00878650176299582,0.00984483671671771,0.01350518199460576,0.00190538220267664,0.00414748382385352,4.835205770955611e-4,0.00196040918144001,1.4303050251623616e-4,5.121746133814012e-4,0.0116,3.13,18915.6534,NA,NA,NA,0.00190538220267664,0.00414748382385352,4.835205770955611e-4,0.00196040918144001,1.4303050251623616e-4,5.121746133814012e-4,low,2025,3,Georgia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,0.1651239075573727,0.06594274725533711,0.0671643398765284,0.04337852439678585,0.03866858181785106,0.03344485399691842,0.03435846057055915,0.02447883787859217,0.00733797454182949,0.00851406601841618,0.00985450797397228,0.01311043587585629,0.00190927085077724,0.00397674072140082,4.497975590446904e-4,0.0017679529319844,1.5927067235420393e-4,5.703699634170176e-4,0.0116,3.13,18915.6534,NA,NA,NA,0.00190927085077724,0.00397674072140082,4.497975590446904e-4,0.0017679529319844,1.5927067235420393e-4,5.703699634170176e-4,low,2030,3,Georgia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,0.16702352001647103,0.06781310609966273,0.0689642582635007,0.04492116093748233,0.04008506775133329,0.03416116038927448,0.03349463111523827,0.02412231619126521,0.00723171368361509,0.00831687078529735,0.0095617340105222,0.01314203673954563,0.00187171856298687,0.00386765306040594,5.008775366301384e-4,0.00188555380811381,1.5750520756440875e-4,7.556684706706945e-4,0.0116,3.13,18915.6534,NA,NA,NA,0.00187171856298687,0.00386765306040594,5.008775366301384e-4,0.00188555380811381,1.5750520756440875e-4,7.556684706706945e-4,low,2035,3,Georgia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,0.16311459148187893,0.06301863249076259,0.06748091795438454,0.04286408239471256,0.03809697113758279,0.03116168055784321,0.0335842669691208,0.02397011497786037,0.00729199311115299,0.00846356264896493,0.00975220682289934,0.01260534365824012,0.00182889617865726,0.00377536775999488,5.254301404794068e-4,0.00220215544090124,1.2232301614301008e-4,4.632517026082043e-4,0.0116,3.13,18915.6534,NA,NA,NA,0.00182889617865726,0.00377536775999488,5.254301404794068e-4,0.00220215544090124,1.2232301614301008e-4,4.632517026082043e-4,low,2040,3,Georgia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,0.1597134705791791,0.06161914623828326,0.06698683046132674,0.04143793117277607,0.03659264568723151,0.03047067209971476,0.03277231479104508,0.02344388143932676,0.00728226466712827,0.0083002427315634,0.00922943906588629,0.01240890511919276,0.00181118128920978,0.00366835758944245,5.087388364207511e-4,0.00186029539681632,1.4568099403611262e-4,6.30777269203618e-4,0.0116,3.13,18915.6534,NA,NA,NA,0.00181118128920978,0.00366835758944245,5.087388364207511e-4,0.00186029539681632,1.4568099403611262e-4,6.30777269203618e-4,low,2045,3,Georgia
