Country,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd
Somalia,21606520.74,2711522.606,0.009666714,0.001278485,0.064330985,0.011505325
South Africa,56854390.88,3714179.301,0.05880985,0.006467303,0.10390284,0.015599025
South Sudan,9672522.382,684352.704,0.009119952,0.001086767,0.031890277,0.006976014
Spain,45549328.18,2181919.981,0.076093076,0.009264093,0.163095801,0.022512712
Sri Lanka,22270054.6,1382305.853,0.037960057,0.004510029,0.131365986,0.018324983
Sudan,43419045.81,3147276.375,0.032262088,0.003593549,0.055898002,0.011924705
Suriname,579247.1179,37483.7003,0.054353177,0.006696841,0.02558424,0.005389955
Sweden,10373513.22,511833.2001,0.081317458,0.012917679,0.17274434,0.018674308
Switzerland,8922811.608,470227.6655,0.076315025,0.008594297,0.201355806,0.020818013
Syrian Arab Republic,14030436.26,1098637.96,0.062640595,0.007480707,0.034944235,0.006749221
Taiwan,23636689.39,1119141.808,0.046612758,0.006396369,0.154005404,0.018125819
Tajikistan,10159942.15,716569.9885,0.041450721,0.004842472,0.074787166,0.014657557
Thailand,66683246.23,4619009.711,0.056217959,0.006507257,0.12772254,0.018644616
Timor-Leste,1397733.358,73134.78977,0.022826262,0.002688418,0.045167486,0.007649424
Togo,8370929.821,566656.0961,0.015509225,0.001935363,0.134426292,0.015144324
Tokelau,1370.965963,66.88937808,0.05859601,0.006771166,0.040668402,0.008390993
Tonga,106299.513,5154.936606,0.025884933,0.003282078,0.143492194,0.019295673
Trinidad and Tobago,1393135.542,87408.42798,0.063549017,0.007777066,0.115099041,0.015887497
Tunisia,11842577.92,661704.0496,0.065109745,0.00707597,0.153533305,0.014912285
Turkey,83612044.79,3175113.419,0.081425969,0.008838809,0.118203021,0.013485224
Turkmenistan,5158372.88,271672.8315,0.044225799,0.00491497,0.047069579,0.007927723
Tuvalu,12367.08824,811.8685527,0.046425093,0.005147836,0.045787534,0.008938609
Uganda,43315053,2500505.301,0.008197237,0.001017671,0.137244415,0.016116567
Ukraine,43077810.63,4158793.005,0.126736943,0.013243173,0.150520424,0.020314157
United Arab Emirates,9631150.806,793680.3126,0.059187124,0.008889453,0.138445029,0.016053249
United Kingdom of Great Britain and Northern Ireland,67848390.1,1879922.463,0.085821884,0.008245101,0.026210627,0.004686984
United Republic of Tanzania,58447852.23,3523202.967,0.00965989,0.001127473,0.241942519,0.019652398
United States of America,332643423.7,12076209.61,0.089652555,0.009913972,0.062739715,0.012089266
United States Virgin Islands,85901.89978,2990.800088,0.077052604,0.009522338,0.061543626,0.010082684
Uruguay,3405618.289,229003.3131,0.069370199,0.00823192,0.01457578,0.003167265
Uzbekistan,34232868.96,4699273.179,0.040783229,0.004520733,0.097117149,0.013674533
Vanuatu,312981.8864,11629.92873,0.017776189,0.002102367,0.169582864,0.015980782
Venezuela,26628840.09,1722033.584,0.062028726,0.006529459,0.091638885,0.014419814
Viet Nam,100267854.3,3788664.728,0.031981363,0.003822463,0.204605429,0.022397681
Yemen,33643472.51,2937665.052,0.030970746,0.003485467,0.117617644,0.014377626
Zambia,19515270.82,1377721.811,0.008126541,0.000997149,0.185274722,0.014652385
Zimbabwe,15595373.72,935003.651,0.045064224,0.00644278,0.260842053,0.019300988
