Country,Pop,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,Prophy,Prophy_sd,Consult_simple,Consult_perio,OPG,PA,RootDeb,OHI,Extraction,OFD,GTR,Single_implant,Implant_surgery,Full_fixed,Denture,Denture_repair,Maintenance_simp,Maintenance_perio,Consult_simple_sd,Consult_perio_sd,OPG_sd,PA_sd,RootDeb_sd,OHI_sd,Extraction_sd,OFD_sd,GTR_sd,Single_implant_sd,Implant_surgery_sd,Full_fixed_sd,Denture_sd,Denture_repair_sd,Maintenance_simp_sd,Maintenance_perio_sd
Brazil,220356039.8,0.1058,0.0073,0.148,0.01445,39.91794505,4.288579703,17.54442334,22.10458828,15.25643846,3.389518829,40.70143132,13.63132679,24.44742426,61.49446575,81.71312653,270.6488458,145.8514592,2390.917391,86.36202313,22.99952138,59.27982646,33.26159314,4.686989221,6.686119481,3.24878801,0.627705444,11.50023747,1.233504583,5.706397472,11.95703739,3.821650261,58.00305264,53.03955587,67.77370815,26.96302913,3.187218343,4.961043202,10.41818494
Brunei Darussalam,451135.7513,0.013652038,0.001791515,0.123804656,0.015822831,64.84244762,13.04612892,52.87640577,93.13326012,67.99086488,15.43581418,142.3243455,29.80477636,76.56961381,361.2842877,367.5213381,1806.068793,1083.308962,12689.32596,605.7198554,103.381918,91.49372887,116.0576837,30.00438354,61.74540901,45.54822359,9.110643286,64.38853022,17.73578208,45.50568206,230.3801127,274.614636,824.157223,1485.5803,7060.157437,431.5711685,49.2655923,28.11267363,49.65208848
Bulgaria,6786933.061,0.107678882,0.012187309,0.208820622,0.019253487,32.8187468,4.881664229,25.2648693,52.09876002,36.54637414,8.318459287,68.46509365,15.26122371,37.65461831,168.6738802,272.5979731,1108.177139,1065.421536,6774.70355,286.7629565,47.64722192,44.48018106,68.86155013,28.13266885,59.76758761,43.97177219,8.704805975,58.02818644,16.86323522,43.065322,218.5862183,272.2630136,780.844856,1485.564929,6697.2216,414.4072588,44.53910842,21.79111714,46.34010284
Burkina Faso,22761130.07,0.008930284,0.001060657,0.16155079,0.014064875,5.714620678,2.567298862,1.895097924,17.3681,9.932478155,2.2944933,5.952316336,2.951894212,4.717858388,5.652847561,192.2570135,517.4976447,1050.282028,1768.702758,16.80515049,0.474653053,4.688992154,28.91582481,27.90395425,59.53031359,43.78236073,8.655753805,57.23255285,16.75747586,42.76873026,217.154968,271.9847001,775.5843036,1485.563119,6653.171723,412.3386582,43.94897366,20.92120054,45.93429885
Burundi,13220294.45,0.009923038,0.001284808,0.161906372,0.013014843,2.817259931,1.82040779,-0.603069991,13.65548257,7.087521737,1.650546968,-0.730137337,1.636058831,1.197004224,-11.77367778,183.6687734,454.3555395,1048.663654,1233.574264,-12.05263843,-4.567972146,0.435417318,24.64573044,27.86026472,59.4851023,43.74626209,8.646397832,57.08005367,16.73729611,42.71211715,216.8818284,271.9317623,774.5802659,1485.562775,6644.7651,411.9442558,43.83589428,20.75171056,45.85675197
Cabo Verde,559262.0214,0.021563489,0.00244893,0.115282222,0.01526693,12.25668759,3.381109012,7.535811346,25.75096764,16.35621923,3.748485521,21.04089621,5.922971635,12.66773607,45.00089731,211.6487449,660.0687336,1053.93622,2976.990824,81.96430824,11.86059852,14.29330919,38.55744198,27.96836602,59.59703536,43.83562998,8.669555647,57.45707875,16.7872403,42.85222031,217.5578129,272.0628791,777.0650593,1485.563627,6665.570295,412.9205663,44.11548025,21.16908255,46.04860945
Cambodia,17044077.39,0.02903349,0.003393018,0.150291401,0.018544057,10.60459378,3.240942593,6.111339873,23.63400921,14.73400671,3.381303166,17.23051799,5.172673807,10.66012229,35.06418006,206.7516749,624.0646976,1053.013412,2671.857102,65.5094107,8.985261074,11.86789336,36.1226066,27.95602721,59.58424792,43.82542115,8.666910985,57.4140962,16.78153735,42.83622453,217.4806293,272.0478908,776.7813579,1485.56353,6663.194781,412.8090548,44.08360301,21.12177907,46.02671354
Cameroon,31779632.65,0.012819664,0.00150466,0.106549354,0.016665345,8.874093922,3.055989033,4.619264978,21.4165829,13.03480626,2.996694849,13.23930454,4.386767893,8.557229977,24.65588011,201.6221969,586.3519604,1052.04681,2352.242161,48.27358675,5.97346414,9.327370686,33.57221734,27.94053745,59.56819907,43.81260832,8.663591469,57.36011853,16.77437888,42.81614548,217.3837448,272.0290832,776.4252387,1485.563408,6660.21292,412.6690938,44.0435726,21.06227504,45.99922502
Canada,37469206.98,0.0542,0.0061,0.2088,0.01985,47.89743956,1.971951058,100.1764006,100.1764006,61.08553414,22.66449274,81.29342417,41.97062107,114.7724497,713.3577141,778.3754177,1965.936548,1211.665195,13768.57142,275.1231354,63.90128388,48.22670269,104.5678765,7.380002253,7.380002253,3.435881948,1.049233659,12.77695101,5.770123388,13.3124983,83.49619945,189.3233091,20.66927514,17.67766953,760.8762243,27.37852967,7.856533658,2.592745996,25.25020966
Central African Republic,5484134.941,0.026037895,0.003285991,0.014377656,0.003119603,3.411786874,2.009617439,-0.090455835,14.41729696,7.671295519,1.782682203,0.641075672,1.906063036,1.919469545,-8.197823848,185.4310462,467.3120493,1048.995738,1343.38051,-6.131134513,-3.53324544,1.308234017,25.52193688,27.86993174,59.49510288,43.75424719,8.648467602,57.11381107,16.74176058,42.72464254,216.9422577,271.9434694,774.802402,1485.562851,6646.624983,412.031503,43.86092477,20.78930908,45.8739113
Chad,17749358.63,0.013184156,0.00163212,0.173400146,0.018769978,5.636172311,2.551786564,1.827458024,17.26757791,9.855448678,2.277057936,5.771383543,2.916266914,4.622528438,5.18101041,192.02448,515.7880215,1050.238209,1754.213725,16.02380271,0.338119931,4.573823203,28.80020858,27.90289641,59.52921847,43.78148637,8.655527219,57.22886243,16.75698717,42.76735934,217.1483536,271.9834175,775.5599899,1485.563111,6652.968147,412.3291058,43.94623706,20.91710984,45.93242135
Chile,18797847.24,0.0594,0.00685,0.1808,0.01925,47.27386886,10.39612331,27.65910741,27.65910741,42.45723144,10.89715622,114.5385577,28.72769287,65.37203476,128.4944582,201.9508052,727.9339508,349.0823044,7535.276327,236.4774253,53.04260494,75.36747196,89.82404155,9.813514432,9.813514432,20.47879173,2.272325668,41.76311058,10.26503843,19.64737444,39.90357244,53.92386042,238.2564317,135.0998074,2087.651363,80.70840671,22.02686402,19.80991055,30.82755777
China,1422745953,0.0489,0.00555,0.1616,0.01405,11.4657436,2.976810451,2.091977969,4.106251723,7.154464016,1.31786354,25.04062406,2.84E-04,6.921919931,49.82871894,34.99627937,387.4874935,265.6250781,1901.321475,70.63891443,3.577232008,11.4657436,11.4657436,0.389755978,1.573456953,0.850517272,0.170103454,1.364145922,7.37E-05,0.153329182,7.725557895,0.294627825,52.48052617,5.52E-05,753.9321113,19.7058171,0.425258636,2.976810451,2.976810451
