location_name,iso3,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
Mongolia,MNG,12019.9948625722,13148.1062491627,11335.5267166759
Tajikistan,TJK,4048.89974628512,5233.32384938635,3377.83028560404
Turkmenistan,TKM,21078.6337322333,29240.740034522,14054.5241653588
Uzbekistan,UZB,10212.2274167206,12945.9932333251,7980.36385558262
Albania,ALB,12757.8034357159,13464.3648691601,11538.4251537574
Bosnia and Herzegovina,BIH,13289.8490196426,15527.7386242018,10819.5905878214
Bulgaria,BGR,20994.6725339766,24131.5184282809,19261.3670868489
Croatia,HRV,26567.4870426111,29978.7113025584,23362.0376308147
Czechia,CZE,34514.251086906,41197.8841598344,29535.4014664374
Hungary,HUN,30266.9626270379,34472.6557253679,26236.0066870831
North Macedonia,MKD,14213.135135604,16337.4545247358,12887.4315139784
Montenegro,MNE,18069.6182034713,19828.2300039147,16441.4091782016
Poland,POL,31549.4635028328,35287.6229116764,28884.8660831154
Romania,ROU,25878.436479183,30482.513241722,20333.3880336914
Serbia,SRB,17449.2696076552,18904.519585969,15267.1090117256
Slovakia,SVK,30838.4100009658,33130.5478279604,26770.7613037904
Slovenia,SVN,34628.9144662576,41800.0049406099,29101.0680263019
Belarus,BLR,18938.0402406794,22107.1719968615,16916.921060223
Estonia,EST,33787.8948133632,40588.8279883706,28707.1135405323
Latvia,LVA,28085.7683794823,33472.2426131134,24417.7346818695
Lithuania,LTU,34456.5554719687,40513.0533422835,28880.7170513511
Republic of Moldova,MDA,9278.59391239758,11181.8171967974,6937.58881027152
Russian Federation,RUS,26323.4053569608,29764.2556881248,24403.8969947776
Ukraine,UKR,10079.8935336542,13228.3895410675,8114.95578725015
Brunei Darussalam,BRN,69113.1213903956,74085.5281757037,63461.533879782
Japan,JPN,38150.5100398313,38726.6523805477,37426.3816176708
Republic of Korea,KOR,40288.9236344648,42735.4841713371,38709.6005897899
Singapore,SGP,92883.8998790882,109603.216819072,66527.9187809006
Australia,AUS,48647.0457689621,53144.2598326015,44717.4745502844
New Zealand,NZL,37847.9437624007,43285.6868110153,34654.9274916527
Andorra,AND,44149.1876753066,49135.2624360747,38533.5607629857
Austria,AUT,45775.6169848758,55805.1702329595,39649.9453029265
Belgium,BEL,44361.1550300858,52576.0095664984,38423.1267177806
Cyprus,CYP,33213.1637016345,42387.7563156645,24700.0750787875
Denmark,DNK,51110.1491007749,58705.6150325108,46411.3038024009
Finland,FIN,42286.6816943372,47864.2288018491,37738.5458334529
France,FRA,39819.3311702494,44396.6086428624,36727.7057583769
Germany,DEU,46306.0546701464,51787.3737499408,43247.9625137311
Greece,GRC,25150.9531390094,29135.3753894609,22619.0586342761
Iceland,ISL,45869.2440128141,56485.6255525673,38489.6552192332
Ireland,IRL,93772.1079973986,129312.102536588,75167.9659286547
Israel,ISR,37670.2350750731,45060.9129246874,32925.7820295518
Italy,ITA,36349.4658107568,41812.9080105624,32841.6544434303
Luxembourg,LUX,92246.8120121366,127871.101049954,52202.9941076779
Malta,MLT,40501.647994148,52401.3428582321,29756.8841410395
Netherlands,NLD,50854.5558228663,57134.8954317383,46558.0603758302
Norway,NOR,69674.1236274809,89573.0974693992,59590.2983945389
Portugal,PRT,28882.0408311547,33665.4363323336,25454.9178853907
Spain,ESP,33185.2850643774,40136.4157791198,28212.6437361959
Sweden,SWE,49711.8789477866,58061.2638373285,44808.3535951236
