LocationHeader,Region,Superregion,iso3c,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,Country,Level
    Malta,Western Europe,High-income,MLT,mid,0.00960627844327806,0.00596885718696287,0.00204967282064218,0.00187859764338382,0.00241728421415372,0.00270534450259386,0.04887602530928803,0.01238005279987759,0.01554768962190569,0.00717408917771046,0.00486219639418507,0.00414802222869015,0.04363732509437022,0.01143895714336571,0.00782307343873657,0.00402366138284446,0.00481503778259215,0.00401420626100675,0.00960627844327806,0.00596885718696287,0.00204967282064218,0.00187859764338382,0.00241728421415372,0.00270534450259386,5.614120527362505e-4,0.00101177634949098,1.3893717736513427e-4,4.31846398685071e-4,4.3191706080571026e-5,1.728766217050479e-4,0.04887602530928803,0.01238005279987759,0.01554768962190569,0.00717408917771046,0.00486219639418507,0.00414802222869015,0.0444,91.64,442219.10948240495,28952.025672187912,0.0747539578887992,0.00911712729939575,0.1446042996434758,0.01946483996220906,40501.647994148,52401.3428582321,29756.8841410395,Malta,3
    Netherlands,Western Europe,High-income,NLD,high,1.9605186782345836,0.48861249261744594,0.3422124520595307,0.17146734872646568,0.20930465448435828,0.16995043080271127,1.9605186782345836,0.48861249261744594,0.3422124520595307,0.17146734872646568,0.20930465448435828,0.16995043080271127,1.9605186782345836,0.48861249261744594,0.3422124520595307,0.17146734872646568,0.20930465448435828,0.16995043080271127,0.4295497794817873,0.26392683897759867,0.09017720289403384,0.07873342780998745,0.10617611856094412,0.11846928043228068,0.02491788714353722,0.04392438081390944,0.00571006975412987,0.0187033196038408,0.00175919593683094,0.00583866784366449,2.1583663793293613,0.5205704544033259,0.6679907036426542,0.2833626897657427,0.2055799018901921,0.16619451227810164,3.6785,213.48,17210661.798023704,841215.6196910329,0.1235982362189929,0.01378947714196215,0.133248525620886,0.01950021904505265,50854.5558228663,57134.8954317383,46558.0603758302,Netherlands,3
    Norway,Western Europe,High-income,NOR,high,1.1409268819825835,0.30682712219307995,0.2811073823337101,0.12811538874305434,0.16667769657968173,0.1284710371369983,1.1409268819825835,0.30682712219307995,0.2811073823337101,0.12811538874305434,0.16667769657968173,0.1284710371369983,1.1409268819825835,0.30682712219307995,0.2811073823337101,0.12811538874305434,0.16667769657968173,0.1284710371369983,0.2862316965687961,0.18623806232516377,0.07409383288010624,0.06374620610887656,0.08352690196132838,0.0872800491188004,0.01618753712231147,0.02865979662312268,0.00481482771139274,0.01385271819173308,0.00148613992799748,0.00459662197510172,1.3557440006070534,0.3319536661812403,0.5483745975333915,0.20200994427095528,0.16750903133876616,0.12886362110232985,2.1691,404.99,5418070.186696545,272363.8091546367,0.088904292651955,0.00818235211417075,0.2173441536047683,0.01901584639279209,69674.1236274809,89573.0974693992,59590.2983945389,Norway,3
    Portugal,Western Europe,High-income,PRT,mid,0.15719803621416473,0.10272204955918732,0.03436721980665254,0.03392467608096396,0.04206426434017179,0.0505472780553004,0.7889102570341565,0.2256409653143703,0.26765819107483924,0.14213300241802487,0.08331916250547687,0.07572656509371133,0.6954616688962232,0.20174368131372028,0.13497250264494884,0.07987504274476064,0.08422168537882523,0.07480613213238048,0.15719803621416473,0.10272204955918732,0.03436721980665254,0.03392467608096396,0.04206426434017179,0.0505472780553004,0.00909823243719933,0.01666053400653516,0.00227875039261701,0.00734432779582326,6.7245503024261e-4,0.00240358281547112,0.7889102570341565,0.2256409653143703,0.26765819107483924,0.14213300241802487,0.08331916250547687,0.07572656509371133,0.8695,84.7,10607848.701904863,720607.4248165805,0.099136271492536,0.01169123581109225,0.13848496670898,0.02032483534154974,28882.0408311547,33665.4363323336,25454.9178853907,Portugal,3
    Spain,Western Europe,High-income,ESP,high,2.2223681126450745,0.5076770537132629,0.14782502104185177,0.05960304429488063,0.1107473616976938,0.08134255205276124,2.2223681126450745,0.5076770537132629,0.14782502104185177,0.05960304429488063,0.1107473616976938,0.08134255205276124,2.2223681126450745,0.5076770537132629,0.14782502104185177,0.05960304429488063,0.1107473616976938,0.08134255205276124,0.33278401787293393,0.1970226850409936,0.03768550094494667,0.03062673883961129,0.05580848430664584,0.05609861047291645,0.0225645794121758,0.0466481672519445,0.00252574394650963,0.00739001458255313,0.00101961100986265,0.00343022898766835,2.1508302751443567,0.4738005505021342,0.2911634663325587,0.08512141584057738,0.11018613862836266,0.08174359781120329,8.3063,178.03,45549328.184396826,2181919.980888251,0.0760930755449854,0.0092640925527318,0.0388302957668494,0.0074066271669799,33185.2850643774,40136.4157791198,28212.6437361959,Spain,3
    Sweden,Western Europe,High-income,SWE,high,2.81235315400085,0.5956974092914559,0.4713598195166557,0.17588180052149882,0.3060573512437765,0.20985818871871365,2.81235315400085,0.5956974092914559,0.4713598195166557,0.17588180052149882,0.3060573512437765,0.20985818871871365,2.81235315400085,0.5956974092914559,0.4713598195166557,0.17588180052149882,0.3060573512437765,0.20985818871871365,0.6374372261638556,0.3873385410460312,0.129093726234683,0.1066821556080974,0.15402584746895773,0.15117576938289526,0.0403419995801708,0.06841588545029917,0.00809921877180701,0.02219879895464798,0.00291129500422963,0.00861580231107411,3.067684182537701,0.5867806617939687,0.9003863202718912,0.20184207581660216,0.3025275359830231,0.21144469210367425,3.3758,327.04,10373513.223420853,511833.20005653147,0.0813174579574529,0.01291767907483165,0.1571243988956068,0.01636603526622869,49711.8789477866,58061.2638373285,44808.3535951236,Sweden,3
    Switzerland,Western Europe,High-income,CHE,high,1.6760195813392815,0.37492168710214746,0.36631210602355824,0.14235454305252687,0.14942104931391292,0.10683937686108567,1.6760195813392815,0.37492168710214746,0.36631210602355824,0.14235454305252687,0.14942104931391292,0.10683937686108567,1.6760195813392815,0.37492168710214746,0.36631210602355824,0.14235454305252687,0.14942104931391292,0.10683937686108567,0.3911775211527695,0.23617317325770165,0.1072476891953414,0.0881347141422301,0.0738613484281881,0.07189848225893423,0.02048426181494458,0.0349657817295801,0.00634977494249783,0.01668892938190774,0.00118756437336267,0.00382284670810672,1.8882007020423337,0.3735364247602308,0.6686960443111332,0.1656591924087698,0.14933405597994723,0.10620866199703216,4.2189,493.73,8922811.60766904,470227.6655009044,0.0763150251885009,0.00859429681001419,0.1533840582275044,0.01992626108151771,64198.136982046,75391.4685464906,58208.6145152868,Switzerland,3
    United Kingdom,Western Europe,High-income,GBR,high,4.514846110956101,1.5923469907686332,0.611093364417306,0.2928561212990388,1.1353744270744464,0.8006291732377756,4.514846110956101,1.5923469907686332,0.611093364417306,0.2928561212990388,1.1353744270744464,0.8006291732377756,4.514846110956101,1.5923469907686332,0.611093364417306,0.2928561212990388,1.1353744270744464,0.8006291732377756,0.9510149941208814,0.6786442278266939,0.15073590874226891,0.12265745355325024,0.5709811793242059,0.5569934074144481,0.03828986771612807,0.09276554704014728,0.00881437880242226,0.03256356478978322,0.00666581811407749,0.02273990050172443,4.753921050321538,1.497207657893791,1.2355727971581347,0.5155171517019337,1.13526307938689,0.7976521323768024,9.5769,143.22,67848390.10066181,1879922.463496536,0.0858218838922702,0.00824510068430969,0.0844999903515326,0.01107407492606724,39692.1038980695,45461.4758054784,35038.568224158,United Kingdom,3
    Bolivia (Plurinational State of),Andean Latin America,Latin America and Caribbean,BOL,low,0.00712634300149998,0.02166524526616803,0.00214830301321543,0.0137712088185216,6.429482952702674e-4,0.00316016413803732,0.6826096123537633,0.37534137937271456,0.2768248763189155,0.2625392302529904,0.09503827927362916,0.12704227050508202,0.5574913570950577,0.31692117177780393,0.13222720842200794,0.13410745490586512,0.08979288818148043,0.11365562777090636,0.1374819655044773,0.1230770586250948,0.03069848521135486,0.04707515681663954,0.04698907518813849,0.07671032954629937,0.00712634300149998,0.02166524526616803,0.00214830301321543,0.0137712088185216,6.429482952702674e-4,0.00316016413803732,0.6826096123537633,0.37534137937271456,0.2768248763189155,0.2625392302529904,0.09503827927362916,0.12704227050508202,0.0482,4.17,11797128.171828238,750450.0826896299,0.0870890544272624,0.00768992544906189,0.1064538248203961,0.01627415585428489,6773.37648761019,8390.43968182311,5888.12329527051,Bolivia (Plurinational State of),3
    Ecuador,Andean Latin America,Latin America and Caribbean,ECU,low,0.01128811771472174,0.02718198617181902,0.00353534987207487,0.01585366391533432,0.0010952014122083,0.00648710829442986,1.034877267152584,0.4895581402301062,0.4284112292092028,0.3629944242398724,0.1379545536644109,0.15843004632120214,0.8561664966170923,0.4023207518492751,0.2063829363880811,0.1765062439815876,0.13907691380063067,0.1638230000945191,0.21088739150030184,0.1716953831749538,0.04867576241474928,0.06466906766543006,0.06867242678363913,0.10388083349311132,0.01128811771472174,0.02718198617181902,0.00353534987207487,0.01585366391533432,0.0010952014122083,0.00648710829442986,1.034877267152584,0.4895581402301062,0.4284112292092028,0.3629944242398724,0.1379545536644109,0.15843004632120214,0.1257,7.28,18065389.118202902,1217388.705565976,0.0784584116764858,0.00796610031056069,0.1221008051811181,0.0156105394950046,9742.56301219152,10710.1820857572,9145.43532633537,Ecuador,3
    Peru,Andean Latin America,Latin America and Caribbean,PER,low,0.02703307399993133,0.05862698459964644,0.00807638764317294,0.03212040210839299,0.00234758553783551,0.01016621473377639,2.523294984674727,1.0470000418733785,1.0013620705150543,0.7606363220382302,0.32229895589055374,0.35053018984647494,2.119899680315788,0.9053474089653392,0.4880464108810236,0.4029540114196936,0.3214096361813465,0.361807884056511,0.5078276506705489,0.3972115894759715,0.11760325771167496,0.14616800426884954,0.16165566652337782,0.238093665003092,0.02703307399993133,0.05862698459964644,0.00807638764317294,0.03212040210839299,0.00234758553783551,0.01016621473377639,2.523294984674727,1.0470000418733785,1.0013620705150543,0.7606363220382302,0.32229895589055374,0.35053018984647494,0.2678,8.24,36270781.47590941,1713178.698927682,0.0952330987266137,0.00876391595553804,0.1212938889324021,0.01688010876830054,12062.1153230386,12275.1549305594,11854.3521388778,Peru,3
    Antigua and Barbuda,Caribbean,Latin America and Caribbean,ATG,mid,0.00182887852271091,0.00137147867708752,4.7582162084666105e-4,4.995880876110374e-4,6.08217942909137e-4,7.865277179188914e-4,0.00862855479797809,0.00305815094237574,0.00385801419318636,0.0023295822171623,0.00122811571717202,0.00119757462444481,0.00692894428640268,0.00245577595783828,0.00189642023978543,0.00122453161327887,0.00119706525950803,0.00115260062351586,0.00182887852271091,0.00137147867708752,4.7582162084666105e-4,4.995880876110374e-4,6.08217942909137e-4,7.865277179188914e-4,9.422852321601444e-5,2.0112931368431697e-4,3.0527928234711176e-5,9.980885278140352e-5,9.8539164806981e-6,3.658459625298451e-5,0.00862855479797809,0.00305815094237574,0.00385801419318636,0.0023295822171623,0.00122811571717202,0.00119757462444481,0.0048,51.88,89395.66628916307,5489.9227951053035,0.0567329638816098,0.00699948003670999,0.1936032354609317,0.01885800440213275,20689.6143727908,24247.1973993372,16579.9849617887,Antigua and Barbuda,3
    Bahamas,Caribbean,Latin America and Caribbean,BHS,mid,0.01017712314773046,0.00733184514398415,0.00266586686156117,0.00255464255300571,0.00328051467858719,0.00392650063921989,0.04741042065114752,0.01478536495098368,0.02049093705899422,0.01059999947100416,0.00640139134954135,0.00571827612315181,0.03906350241995893,0.01246679564600645,0.01034148644618292,0.00596775009400617,0.00643932726136349,0.00573629514750638,0.01017712314773046,0.00733184514398415,0.00266586686156117,0.00255464255300571,0.00328051467858719,0.00392650063921989,5.387232880861293e-4,0.00107463432689663,1.8484521172616847e-4,6.272654078046775e-4,5.245959537601711e-5,1.784630144074012e-4,0.04741042065114752,0.01478536495098368,0.02049093705899422,0.01059999947100416,0.00640139134954135,0.00571827612315181,0.0329,75.3,387965.7168254832,27904.051158737915,0.0487259521060088,0.00598056278534045,0.1864530323196796,0.01960897665521134,28557.3055534091,34382.8290932221,24686.7465616672,Bahamas,3
    Barbados,Caribbean,Latin America and Caribbean,BRB,mid,0.00423776295047898,0.00346199359172007,0.00111909734827154,0.00132698685815239,0.00150451617632344,0.00217059427987089,0.01995183862034048,0.0086070605373701,0.00939216089230408,0.00680650262706591,0.00292813772052978,0.00314163685234729,0.01578097483406895,0.0066681578086211,0.00457318451698103,0.00356356208696329,0.00296424445801173,0.00313109254813488,0.00423776295047898,0.00346199359172007,0.00111909734827154,0.00132698685815239,0.00150451617632344,0.00217059427987089,2.1115144305450348e-4,4.787274615390854e-4,7.721484397741527e-5,3.2748505629355096e-4,2.1777285433006087e-5,8.858392762875836e-5,0.01995183862034048,0.0086070605373701,0.00939216089230408,0.00680650262706591,0.00292813772052978,0.00314163685234729,0.0152,52.8,299024.7964714803,21644.704150214675,0.0849187395341054,0.01031689369293914,0.2015399332670672,0.01882145670124334,13220.5464372559,15550.9245795284,9463.97093024592,Barbados,3
    Belize,Caribbean,Latin America and Caribbean,BLZ,mid,0.00573250264332953,0.00500534019761048,0.00138883527403981,0.00197888007302243,0.00196103855546253,0.00301307192435057,0.02816792652500832,0.01426526930182602,0.01216671544590983,0.01067259447645645,0.00399736748775297,0.00482466559599113,0.02285606475632723,0.01145454099041134,0.00590786738039773,0.0055105934297439,0.00392614730883239,0.00479743141351833,0.00573250264332953,0.00500534019761048,0.00138883527403981,0.00197888007302243,0.00196103855546253,0.00301307192435057,2.9057737017921853e-4,8.079031136094489e-4,9.639873040950348e-5,4.7649535749949833e-4,2.8093851881763004e-5,1.6114956674632394e-4,0.02816792652500832,0.01426526930182602,0.01216671544590983,0.01067259447645645,0.00399736748775297,0.00482466559599113,0.0057,14.08,429074.7047737778,29937.17608377154,0.03653710394867,0.0041134273294413,0.1282651973214638,0.01672565972034954,8307.65960232389,9903.99734193359,6203.91698040609,Belize,3
    Bermuda,Caribbean,Latin America and Caribbean,BMU,low,1.531919679690675e-4,2.7607215999612885e-4,5.126691140055709e-5,1.4246447674622886e-4,1.6745027417365886e-5,5.942051933110124e-5,0.01295074731693099,0.0033492416913159,0.00592910522327474,0.00216424266465862,0.00181618323889186,0.001413649405799,0.01046452984108644,0.0030427905531064,0.00304202893762288,0.00136530706568851,0.00181391141811561,0.00141576568328337,0.00285305621749603,0.00196984542352361,8.111125472126064e-4,6.93159534720031e-4,9.047283308203168e-4,9.605119868353103e-4,1.531919679690675e-4,2.7607215999612885e-4,5.126691140055709e-5,1.4246447674622886e-4,1.6745027417365886e-5,5.942051933110124e-5,0.01295074731693099,0.0033492416913159,0.00592910522327474,0.00216424266465862,0.00181618323889186,0.001413649405799,NA,NA,63540.84783301026,3184.3069550244218,0.0910660835349618,0.01078746459168775,0.2714295052089344,0.02065415948121166,69930.6572599263,83599.5009827399,57325.3595215396,Bermuda,3
    Cuba,Caribbean,Latin America and Caribbean,CUB,mid,0.09985877289541348,0.0932987399675946,0.02573579897209152,0.03654704594960074,0.03813097030099387,0.05931486221494746,0.47226140601307753,0.25300429638321753,0.22958496374762177,0.20327370449578544,0.07587152862071414,0.09741635681148464,0.36770108401128054,0.19614436160909093,0.11353043928617362,0.11175270925934572,0.07615411247269102,0.0924506098608118,0.09985877289541348,0.0932987399675946,0.02573579897209152,0.03654704594960074,0.03813097030099387,0.05931486221494746,0.00497336376277421,0.01243156839782422,0.00191445561908316,0.00799171410536861,5.364870155429536e-4,0.00232861289514702,0.47226140601307753,0.25300429638321753,0.22958496374762177,0.20327370449578544,0.07587152862071414,0.09741635681148464,0.3044,26.85,11269529.250682566,709292.1772265639,0.0931076806961559,0.0113131390708011,0.1949444329798111,0.0216438480287162,7748.41473285261,8084.54112328566,7343.21381811171,Cuba,3
