Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Niger,0.2427523803513742,0.28369348687528223,0.09560401309918223,0.1382515784469371,0.06123464125050533,0.092411007151092,0.05087726456941049,0.10312867334285818,0.00856235134951,0.0221034130025656,0.01550704700906731,0.03242171422962554,0.00259192122766904,0.0201677000770283,5.952831951948933e-4,0.00410457864757991,1.6252830887628352e-4,0.00125163286670012,1e-4,0.01,1585.59922,low,0.00259192122766904,0.0201677000770283,5.952831951948933e-4,0.00410457864757991,1.6252830887628352e-4,0.00125163286670012
Nigeria,3.393143572675534,2.47809791231073,0.9042286059067292,0.9716040817886028,0.57734030629336075,0.6793515118470813,0.8104770807242146,0.9233860114470144,0.09217319884304596,0.16475578981249564,0.1399804200783486,0.2510892389362237,0.05044854563476401,0.20041319957913015,0.00532236864022483,0.03039889794701488,0.00206479614175168,0.00985577284806916,0.1375,0.68,5491.700341,low,0.05044854563476401,0.20041319957913015,0.00532236864022483,0.03039889794701488,0.00206479614175168,0.00985577284806916
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895,3.5,NA,high,0,0,0,0,0,0
North Macedonia,0.11509487638218514,0.04378672448926139,0.04728459887506787,0.02842819211149326,0.02706833958817427,0.0227552469244443,0.02352103633567674,0.01608169690913476,0.00519693888984415,0.00567086315804148,0.00666955331915099,0.00866845769348821,0.00134605158505529,0.00262602111744914,3.4250109028195394e-4,0.00122854625816667,1.1035462331722107e-4,3.8149216668239145e-4,0.0319,15.34,22142.97287,low,0.00134605158505529,0.00262602111744914,3.4250109028195394e-4,0.00122854625816667,1.1035462331722107e-4,3.8149216668239145e-4
Norway,1.0238224355243604,0.28106679308593935,0.4449469246900268,0.14332133394338226,0.23746554634307537,0.1449298292973006,0.2066837848791193,0.13175123904145816,0.05183834466659993,0.04322086747488474,0.05950549546960307,0.06120734894817669,0.0117186731849259,0.02041531540388375,0.00329315488313258,0.009837712961026,0.00113351581862098,0.00358070899435317,2.1691,404.99,88984.13867,high,1.0238224355243604,0.28106679308593935,0.4449469246900268,0.14332133394338226,0.23746554634307537,0.1449298292973006
Oman,0.5017548452130132,0.1661165313260631,0.20405411230700649,0.09671313501325826,0.1127227014974624,0.08181774888519713,0.103964530703596,0.06878014599045815,0.02294006109104179,0.02227889650030265,0.02830037416721288,0.03372574772337984,0.00595251112251109,0.01093976070944779,0.00143657103101377,0.00422032431734461,5.154442312831492e-4,0.00193197548373616,0.1327,30.82,38719.45877,mid,0.103964530703596,0.06878014599045815,0.02294006109104179,0.02227889650030265,0.02830037416721288,0.03372574772337984
Pakistan,8.94098689871504,5.901141463362059,4.275305714516518,4.469350904840412,2.63985868031503,3.1729657340063087,1.6569638960303523,1.7464032512341432,0.4153294740196375,0.7132856548756213,0.6478202466446537,1.1748061130012468,0.0866934672050415,0.2885787215762702,0.03052677214732918,0.16374133746980518,0.00960804590043063,0.0477641939365292,0.0489,0.24,5367.273647,low,0.0866934672050415,0.2885787215762702,0.03052677214732918,0.16374133746980518,0.00960804590043063,0.0477641939365292
Palau,3.735452209889733e-4,1.6393052679987698e-4,9.357918572010472e-5,6.786050778980031e-5,5.4669424484696506e-5,5.0940511393156144e-5,8.879433884979005e-5,6.529982933540166e-5,1.006184540342855e-5,1.2890351566659692e-5,1.369575073507614e-5,1.8355518675220737e-5,5.786919396237556e-6,1.3961692546222246e-5,6.653834682726368e-7,2.7284472505974446e-6,2.086070454675384e-7,8.485300505933032e-7,5e-4,25.39,15663.17159,mid,8.879433884979005e-5,6.529982933540166e-5,1.006184540342855e-5,1.2890351566659692e-5,1.369575073507614e-5,1.8355518675220737e-5
Panama,0.35028265414772686,0.12038528665199157,0.14756633802978203,0.07597939702313698,0.08188562955413423,0.06038717624461705,0.07184538193770812,0.04884427865171074,0.0163068389903561,0.01566718509023118,0.0211295401138758,0.02598363679429197,0.00388584309290177,0.0071393749193676,0.0010196830357299,0.00317313636266109,3.514157012056639e-4,0.00120204003292057,0.1354,32.1,30932.76278,mid,0.07184538193770812,0.04884427865171074,0.0163068389903561,0.01566718509023118,0.0211295401138758,0.02598363679429197
Papua New Guinea,0.08085351124107093,0.0866804280150318,0.01488109020081455,0.01800305514145474,0.00931361919935134,0.0124717572481683,0.02106045903598815,0.03613952508688997,0.00136991726101551,0.0029971371714806,0.00218697958026466,0.00442771763695523,0.00130890170517521,0.0076248984788762,9.835479378139504e-5,6.292427739076203e-4,3.4914545305648026e-5,2.293047677792057e-4,0.0358,4.17,3976.903801,low,0.00130890170517521,0.0076248984788762,9.835479378139504e-5,6.292427739076203e-4,3.4914545305648026e-5,2.293047677792057e-4
