Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Chile,0.0246698470282256,0.04338481388735431,0.00680062580090669,0.02011728935722001,0.00135649317472484,0.00436881025204311,low,0.4696,24.58,29089.85046
China,24.36332637868296,6.54269782854686,8.922938108039336,2.284943162727255,7.644018086788233,3.916604623582163,high,61.5486,43.96,20843.29783
Colombia,0.03256092342805437,0.0736749894381245,0.00940221781926538,0.0449411779445753,0.00319926365005773,0.01202521901334493,low,0.7051,14,17383.09017
Comoros,1.5831738700857652e-4,5.915413197068005e-4,4.722998991541503e-5,2.650078071230938e-4,1.2002035567236632e-5,9.116113303948868e-5,low,3e-4,0.3,3449.043575
Congo,0.00128496158292921,0.00406308552949118,3.2782370911160633e-4,0.00161140573356977,1.1247337704793562e-4,6.023604987623985e-4,low,0.0047,1.03,6263.211613
Costa Rica,0.0703557918199605,0.04988416632558443,0.01676439494976233,0.01798661994701526,0.02202975895375612,0.02715796192845228,mid,0.1617,31.84,23852.9253
Croatia,0.07216604726050499,0.04853402931923286,0.01824643829273262,0.01787763438285261,0.02208530607541146,0.02500504147669366,mid,0.1494,36.8,36930.47013
Cuba,0,0,0,0,0,0,high,0.3044,26.85,NA
Cyprus,0.00144407271248873,0.00251620713584891,3.025321280620996e-4,9.434888620575704e-4,1.1197789765412118e-4,3.702125432668274e-4,low,0.0126,14.41,48781.27734
Czechia,0.966761923333525,0.29187552244199033,0.3993823232409664,0.16880611007717636,0.22058100343513248,0.14964106758630297,high,0.8438,79.32,47796.03374
Côte d'Ivoire,0.00925484053762742,0.02753764779756738,0.00277814242335029,0.01416121598800835,8.748964244853913e-4,0.00455700410313506,low,0.0066,0.25,6045.204805
Democratic Republic of the Congo,0.00749989898828545,0.0662916898318713,0.0014867457342936,0.01535017665851948,8.111164913954626e-4,0.00633893638209852,low,0.0229,0.23,1313.618218
Denmark,1.061614608255408,0.308798320023676,0.4901555970816226,0.17404299779445584,0.262695132610481,0.15951571116331992,high,1.8676,321.67,69715.18097
Djibouti,3.394534995507821e-4,0.00113062302007343,9.656305814611686e-5,5.501927925414706e-4,2.954514568363229e-5,1.420120030289955e-4,low,8e-4,0.76,5960.108074
Dominica,7.521664497887135e-4,5.867615577073266e-4,1.8335214756373008e-4,2.207167862959563e-4,2.494568787446527e-4,3.466914614953741e-4,mid,0.0019,26.92,15808.97435
Dominican Republic,0.00774909732087849,0.0162613175769858,0.00196682479342754,0.00752618732173673,6.966194499769589e-4,0.00313237208698792,low,0.0823,7.94,22053.45899
Ecuador,0.00840800114595527,0.01922629294695108,0.00217312838545254,0.00900396546625479,6.452124215159742e-4,0.00258999047032862,low,0.1257,7.28,13507.44456
Egypt,0.05499935510573622,0.12250942077960134,0.01151210310430765,0.04654222706831555,0.00394713784025752,0.01573762477840322,low,0.3293,3.32,15579.01609
El Salvador,0.00232638130430739,0.00606550733573418,6.58025852760684e-4,0.00304921943648302,2.1665488478148328e-4,8.931807626658143e-4,low,0.0628,9.37,10809.7134
Equatorial Guinea,9.05740047851622e-4,0.00214200073397719,1.9277942130973568e-4,7.981495584028683e-4,6.281011936591376e-5,2.550200462850881e-4,low,0.0057,4.19,16821.44865
Eritrea,0,0,0,0,0,0,high,0.0024,0.39,NA
Estonia,0.02408600218793053,0.01566695337984458,0.00564289154549264,0.00519567413441472,0.00676900499295917,0.00785879972813418,mid,0.149,113,44251.5375
