Country,Procedure,selected_Mean_total_billions,selected_SD_total_billions
Barbados,Extraction,2.1184312650541836e-4,6.152396368922156e-4
Barbados,Full_fixed,1.354774342011351e-4,4.993227114741076e-4
Barbados,GTR,7.605327754951818e-5,1.2528204366075844e-4
Barbados,Implant_surgery,1.6030463420132367e-4,6.717494222223268e-4
Barbados,Maintenance_perio,4.3431146922602576e-4,7.59551855338542e-4
Barbados,Maintenance_simp,2.768245309934705e-4,4.441119346348416e-4
Barbados,OFD,2.9722810117341792e-5,8.789733454858435e-5
Barbados,OHI,7.643689508073837e-5,1.8407263716713047e-4
Barbados,OPG,1.7303904751607744e-4,3.2715511052491e-4
Barbados,PA,9.60410831189924e-5,1.9287545589695095e-4
Barbados,Prophy,2.6144912971613277e-4,2.9236834734479923e-4
Barbados,RootDeb,2.672024408976832e-4,6.485351479203816e-4
Barbados,Single_implant,7.441237657874086e-4,0.00123426492309636
Belarus,Consult_perio,4.150874606160923e-4,0.00227123016978144
Belarus,Consult_simple,7.846505079246387e-4,0.00392328269876744
Belarus,Denture,1.374850369480048e-4,8.509353923030552e-4
Belarus,Denture_repair,1.3575947882808889e-4,6.044074742399154e-4
Belarus,Extraction,8.453113447423469e-4,0.00418932835237211
Belarus,Full_fixed,8.778220739314501e-5,6.983408884593588e-4
Belarus,GTR,2.075095399913255e-5,9.195167937627376e-5
Belarus,Implant_surgery,9.993088553103248e-5,0.00120935338275728
Belarus,Maintenance_perio,0.00129051300460528,0.00584571183550263
Belarus,Maintenance_simp,0.0013616924581665,0.00537043025848755
Belarus,OFD,1.1361738995180078e-5,7.076937960458903e-5
Belarus,OHI,1.882457242642777e-5,9.460197938200767e-5
Belarus,OPG,1.3789622728492597e-5,5.80796398153784e-5
Belarus,PA,1.633975829261341e-5,6.399831092201213e-5
Belarus,Prophy,0.00100159401479699,0.00323072989931011
Belarus,RootDeb,5.825246376580926e-4,0.00269601340957418
Belarus,Single_implant,1.8158115636945747e-4,7.594613142056606e-4
Belgium,Consult_perio,0.03810680355921397,0.03543999052674079
Belgium,Consult_simple,0.03607681787043339,0.03481070148804158
Belgium,Denture,0.03833098641047934,0.03611588037450673
Belgium,Denture_repair,0.03477286803105416,0.02569129187450419
Belgium,Extraction,0.10587079994045932,0.0929431021739189
Belgium,Full_fixed,0.05197308979647878,0.08315382553202581
Belgium,GTR,0.01647451336392276,0.01434745637141779
Belgium,Implant_surgery,0.02675146364679938,0.06872576465859938
Belgium,Maintenance_perio,0.5132511538688471,0.2395615800072091
Belgium,Maintenance_simp,0.18842169310203993,0.10802842240349282
Belgium,OFD,0.01462396326138505,0.01225238470902656
Belgium,OHI,0.02271934717078044,0.01832724783815328
