Location ID,Location Name,2023 SDI Index Value,SDI Quintile
135,Brazil,0.683948063,
136,Paraguay,0.674083688,Middle SDI
137,North Africa and Middle East,0.684203004,
138,North Africa and Middle East,0.684203004,
139,Algeria,0.657762184,Middle SDI
140,Bahrain,0.784322258,High SDI
141,Egypt,0.676522329,Middle SDI
142,Iran (Islamic Republic of),0.717596893,
143,Iraq,0.65388768,Middle SDI
144,Jordan,0.720361704,High SDI
145,Kuwait,0.877142651,High SDI
146,Lebanon,0.723663906,High SDI
147,Libya,0.77048183,High SDI
148,Morocco,0.61238655,Low-middle SDI
149,Palestine,0.637960641,Middle SDI
150,Oman,0.781199307,High SDI
151,Qatar,0.859592081,High SDI
152,Saudi Arabia,0.828449016,High SDI
153,Syrian Arab Republic,0.588666038,Low-middle SDI
154,Tunisia,0.683724008,High-middle SDI
155,Türkiye,0.730954084,High SDI
156,United Arab Emirates,0.862212003,High SDI
157,Yemen,0.446387301,Low SDI
158,South Asia,0.585476392,
159,South Asia,0.585476392,
160,Afghanistan,0.333716707,Low SDI
161,Bangladesh,0.517107598,Low SDI
162,Bhutan,0.524274051,Low SDI
163,India,0.606984743,
164,Nepal,0.470979868,Low SDI
165,Pakistan,0.512708587,
166,Sub-Saharan Africa,0.47385006,
167,Central Sub-Saharan Africa,0.478312,
168,Angola,0.499123084,Low SDI
169,Central African Republic,0.259145563,Low SDI
170,Congo,0.577693671,Low-middle SDI
171,Democratic Republic of the Congo,0.39502503,Low SDI
172,Equatorial Guinea,0.645967271,Middle SDI
173,Gabon,0.630949309,Middle SDI
174,Eastern Sub-Saharan Africa,0.431280591,
175,Burundi,0.30722275,Low SDI
176,Comoros,0.47864857,Low SDI
177,Djibouti,0.490955646,Low SDI
178,Eritrea,0.414481289,Low SDI
179,Ethiopia,0.393735563,
180,Kenya,0.548638616,
181,Madagascar,0.379909417,Low SDI
182,Malawi,0.409430927,Low SDI
183,Mauritius,0.736266642,High SDI
184,Mozambique,0.341702743,Low SDI
185,Rwanda,0.462085417,Low SDI
186,Seychelles,0.753014505,High SDI
187,Somalia,0.228968754,Low SDI
189,United Republic of Tanzania,0.465812943,Low SDI
190,Uganda,0.442146048,Low SDI
191,Zambia,0.505437584,Low SDI
192,Southern Sub-Saharan Africa,0.66159125,
193,Botswana,0.677612262,High-middle SDI
194,Lesotho,0.509835472,Low SDI
195,Namibia,0.619532858,Low-middle SDI
196,South Africa,0.696452952,
197,Eswatini,0.60689481,Low-middle SDI
198,Zimbabwe,0.491130235,Low SDI
199,Western Sub-Saharan Africa,0.459602489,
200,Benin,0.406441033,Low SDI
201,Burkina Faso,0.306749932,Low SDI
202,Cameroon,0.48698617,Low SDI
203,Cabo Verde,0.562404573,Low-middle SDI
204,Chad,0.239304738,Low SDI
205,Côte d'Ivoire,0.451477564,Low SDI
206,Gambia,0.432581642,Low SDI
207,Ghana,0.573701204,Low-middle SDI
208,Guinea,0.355088769,Low SDI
209,Guinea-Bissau,0.373302724,Low SDI
210,Liberia,0.382933045,Low SDI
211,Mali,0.284917455,Low SDI
212,Mauritania,0.517884091,Low SDI
213,Niger,0.203030518,Low SDI
214,Nigeria,0.511873658,
215,Sao Tome and Principe,0.522570502,Low SDI
216,Senegal,0.412717607,Low SDI
217,Sierra Leone,0.38317636,Low SDI
218,Togo,0.460442102,Low SDI
298,American Samoa,0.743037072,High SDI
305,Bermuda,0.826949102,High SDI
320,Cook Islands,0.777399547,High SDI
349,Greenland,0.860157536,High SDI
351,Guam,0.811872791,High SDI
354,Hong Kong Special Administrative Region of China,0.84939009,High SDI
361,Macao Special Administrative Region of China,0.86878291,High SDI
367,Monaco,0.922700531,High SDI
369,Nauru,0.626355387,Low-middle SDI
374,Niue,0.748486463,High SDI
376,Northern Mariana Islands,0.791102849,High SDI
380,Palau,0.755887874,High SDI
385,Puerto Rico,0.847507861,High SDI
393,Saint Kitts and Nevis,0.754487242,High SDI
396,San Marino,0.883013835,High SDI
413,Tokelau,0.749544455,High SDI
416,Tuvalu,0.611204377,Low-middle SDI
422,United States Virgin Islands,0.830239828,High SDI
433,Northern Ireland,0.864435823,High SDI
434,Scotland,0.877906329,High SDI
435,South Sudan,0.378951378,Low SDI
482,Eastern Cape,0.669529755,High-middle SDI
483,Free State,0.701672292,High-middle SDI
484,Gauteng,0.720802143,High-middle SDI
485,KwaZulu-Natal,0.686855629,High-middle SDI
486,Limpopo,0.659766475,High-middle SDI
487,Mpumalanga,0.673155544,High-middle SDI
488,North-West,0.682996073,High-middle SDI
489,Northern Cape,0.684719686,High-middle SDI
490,Western Cape,0.73316238,High-middle SDI
491,Anhui,0.697170321,High-middle SDI
492,Beijing,0.837179269,High SDI
493,Chongqing,0.699850981,High-middle SDI
494,Fujian,0.725166782,High SDI
495,Gansu,0.664873699,Middle SDI
496,Guangdong,0.769603372,High SDI
497,Guangxi,0.696572857,High-middle SDI
498,Guizhou,0.670403553,Middle SDI
499,Hainan,0.736460836,High SDI
500,Hebei,0.713104421,High-middle SDI
501,Heilongjiang,0.728069319,High SDI
502,Henan,0.71496633,High-middle SDI
503,Hubei,0.728205431,High SDI
504,Hunan,0.718784656,High-middle SDI
505,Inner Mongolia,0.740710897,High SDI
506,Jiangsu,0.756447603,High SDI
507,Jiangxi,0.692499961,High-middle SDI
508,Jilin,0.720730667,High SDI
509,Liaoning,0.761960969,High SDI
510,Ningxia,0.690298072,High-middle SDI
511,Qinghai,0.664385373,Middle SDI
512,Shaanxi,0.71863909,High-middle SDI
513,Shandong,0.724241244,High SDI
514,Shanghai,0.805721853,High SDI
515,Shanxi,0.740320606,High SDI
516,Sichuan,0.707050756,High-middle SDI
517,Tianjin,0.807911781,High SDI
518,Tibet,0.497302649,Low SDI
519,Xinjiang,0.727000137,High SDI
520,Yunnan,0.659927272,Middle SDI
521,Zhejiang,0.74570286,High SDI
522,Sudan,0.573085482,Low-middle SDI
523,Alabama,0.844340082,High SDI
524,Alaska,0.851873527,High SDI
525,Arizona,0.863262138,High SDI
526,Arkansas,0.83260481,High SDI
527,California,0.881117199,High SDI
528,Colorado,0.892103998,High SDI
529,Connecticut,0.90711494,High SDI
530,Delaware,0.865307062,High SDI
531,District of Columbia,0.91724094,High SDI
532,Florida,0.876349624,High SDI
533,Georgia,0.862982261,High SDI
534,Hawaii,0.872750286,High SDI
535,Idaho,0.856481844,High SDI
536,Illinois,0.890539504,High SDI
537,Indiana,0.855310352,High SDI
538,Iowa,0.873765961,High SDI
539,Kansas,0.867306237,High SDI
540,Kentucky,0.837628137,High SDI
541,Louisiana,0.837082602,High SDI
542,Maine,0.875997659,High SDI
543,Maryland,0.894216055,High SDI
544,Massachusetts,0.913703824,High SDI
545,Michigan,0.880325079,High SDI
546,Minnesota,0.896480191,High SDI
547,Mississippi,0.825784055,High SDI
548,Missouri,0.863179108,High SDI
549,Montana,0.873321558,High SDI
550,Nebraska,0.87368434,High SDI
551,Nevada,0.859827973,High SDI
552,New Hampshire,0.903725313,High SDI
553,New Jersey,0.897413981,High SDI
554,New Mexico,0.848155371,High SDI
555,New York,0.892157036,High SDI
556,North Carolina,0.864014564,High SDI
557,North Dakota,0.878834608,High SDI
558,Ohio,0.864956171,High SDI
559,Oklahoma,0.84170452,High SDI
560,Oregon,0.884344057,High SDI
561,Pennsylvania,0.886793362,High SDI
562,Rhode Island,0.891270587,High SDI
563,South Carolina,0.858284381,High SDI
564,South Dakota,0.861546648,High SDI
565,Tennessee,0.851763229,High SDI
566,Texas,0.855533845,High SDI
567,Utah,0.872897703,High SDI
568,Vermont,0.896326475,High SDI
569,Virginia,0.890513214,High SDI
570,Washington,0.889571993,High SDI
571,West Virginia,0.83433632,High SDI
572,Wisconsin,0.882920061,High SDI
573,Wyoming,0.861483891,High SDI
4618,North East England,0.859002508,High SDI
4619,North West England,0.871459336,High SDI
4620,Yorkshire and the Humber,0.865832342,High SDI
4621,East Midlands,0.869656423,High SDI
4622,West Midlands,0.86432792,High SDI
4623,East of England,0.878432147,High SDI
4624,Greater London,0.917236849,High SDI
4625,South East England,0.892807525,High SDI
4626,South West England,0.88492374,High SDI
4636,Wales,0.853291981,High SDI
4643,Aguascalientes,0.693999288,High-middle SDI
4644,Baja California,0.714884685,High-middle SDI
4645,Baja California Sur,0.710012104,High-middle SDI
4646,Campeche,0.683670234,High-middle SDI
4647,Coahuila,0.695187966,High-middle SDI
4648,Colima,0.701089803,High-middle SDI
4649,Chiapas,0.609865676,High-middle SDI
4650,Chihuahua,0.691829671,High-middle SDI
4651,Mexico City,0.768185949,High-middle SDI
4652,Durango,0.679639884,High-middle SDI
4653,Guanajuato,0.667336221,High-middle SDI
4654,Guerrero,0.641740573,High-middle SDI
4655,Hidalgo,0.678282055,High-middle SDI
4656,Jalisco,0.70020111,High-middle SDI
4657,México,0.716016798,High-middle SDI
4658,Michoacán de Ocampo,0.657874203,High-middle SDI
4659,Morelos,0.699439579,High-middle SDI
4660,Nayarit,0.689457517,High-middle SDI
4661,Nuevo León,0.730272284,High-middle SDI
4662,Oaxaca,0.637215286,High-middle SDI
4663,Puebla,0.658879871,High-middle SDI
4664,Querétaro,0.706259016,High-middle SDI
4665,Quintana Roo,0.704487109,High-middle SDI
4666,San Luis Potosí,0.6870076,High-middle SDI
4667,Sinaloa,0.709780319,High-middle SDI
4668,Sonora,0.720026842,High-middle SDI
4669,Tabasco,0.677987739,High-middle SDI
4670,Tamaulipas,0.703258544,High-middle SDI
4671,Tlaxcala,0.687931264,High-middle SDI
4672,Veracruz de Ignacio de la Llave,0.667830004,High-middle SDI
4673,Yucatán,0.69397886,High-middle SDI
4674,Zacatecas,0.678461276,High-middle SDI
4709,Aceh,0.686236584,High-middle SDI
4710,North Sumatra,0.68177762,High-middle SDI
4711,West Sumatra,0.68813554,High-middle SDI
4712,Riau,0.702571153,High-middle SDI
4713,Jambi,0.660805028,Middle SDI
4714,South Sumatra,0.659173748,Middle SDI
4715,Bengkulu,0.644420909,Middle SDI
4716,Lampung,0.639365862,Middle SDI
4717,Bangka-Belitung Islands,0.661043213,Middle SDI
4718,Riau Islands,0.749065731,High SDI
4719,North Kalimantan,0.707696148,High-middle SDI
4720,Jakarta,0.774781229,High SDI
4721,West Java,0.654688043,Middle SDI
4722,Central Java,0.638045884,Middle SDI
4723,Yogyakarta,0.707905006,High-middle SDI
4724,East Java,0.657700024,Middle SDI
4725,Banten,0.672689471,Middle SDI
4726,Bali,0.675267944,Middle SDI
4727,West Nusa Tenggara,0.621235474,Low-middle SDI
4728,East Nusa Tenggara,0.610143837,Low-middle SDI
4729,West Kalimantan,0.620102995,Low-middle SDI
4730,Central Kalimantan,0.656834303,Middle SDI
4731,South Kalimantan,0.653010748,Middle SDI
4732,East Kalimantan,0.728763413,High SDI
4733,North Sulawesi,0.682863312,High-middle SDI
4734,Central Sulawesi,0.654843806,Middle SDI
4735,South Sulawesi,0.65632479,Middle SDI
4736,Southeast Sulawesi,0.64130606,Middle SDI
4737,Gorontalo,0.631306445,Middle SDI
4738,West Sulawesi,0.632594134,Middle SDI
4739,Maluku,0.654592156,Middle SDI
4740,North Maluku,0.638934164,Middle SDI
4741,West Papua,0.682405359,High-middle SDI
4742,Papua,0.654881277,Middle SDI
4749,England,0.882510953,
4750,Acre,0.608780041,Low-middle SDI
4751,Alagoas,0.609706138,Low-middle SDI
4752,Amazonas,0.672211361,Middle SDI
4753,Amapá,0.643063854,Middle SDI
4754,Bahia,0.63293733,Middle SDI
4755,Ceará,0.639415548,Middle SDI
4756,Distrito Federal,0.763470919,High SDI
4757,Espírito Santo,0.678915923,High-middle SDI
4758,Goiás,0.683202125,High-middle SDI
4759,Maranhão,0.566496072,Low-middle SDI
4760,Minas Gerais,0.684908285,High-middle SDI
4761,Mato Grosso do Sul,0.6798739,High-middle SDI
4762,Mato Grosso,0.680197299,High-middle SDI
4763,Pará,0.630890248,Middle SDI
