LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
    Ukraine,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",UKR,0.02382684321156589,0.05175560072973521,0.00693258335620749,0.02693119434283047,0.00207395603176223,0.00937064219492562,low,0.0589,1.41,17846.4082,Ukraine,3
High-income,NA,High-income,NA,97.49550942067755,11.445628478568157,34.081562611669625,3.8600432672604805,23.122857503187106,5.6995049656102585,NA,NA,NA,NA,NA,1
  Australasia,Australasia,High-income,NA,4.058309203000528,0.9115787668235473,1.6279226865830447,0.3422940667770532,0.8472481495545023,0.4307855360427514,NA,NA,NA,NA,NA,2
    Australia,Australasia,High-income,AUS,3.9371323120829183,0.90770873619266,1.5968201408961145,0.34108149639783825,0.8098003861135211,0.4286320771270476,high,7.3703,288.25,58182.33695,Australia,3
    New Zealand,Australasia,High-income,NZL,0.12117689091760954,0.08390886939449889,0.03110254568693038,0.02878612453570676,0.03744776344098124,0.04302000141089415,mid,0.5353,106.27,47996.67988,New Zealand,3
  High-income Asia Pacific,High-income Asia Pacific,High-income,NA,9.25001228439152,1.6034979728920862,3.3861523248253955,0.5922313660211533,2.573545939013905,0.9881688395805882,NA,NA,NA,NA,NA,2
    Brunei Darussalam,High-income Asia Pacific,High-income,BRN,6.992620311980037e-4,0.00125287473835441,1.4242403475967595e-4,4.266161985748575e-4,4.4233015450580134e-5,1.5418985630598673e-4,low,0.0091,20.35,78248.79711,Brunei Darussalam,3
    Japan,High-income Asia Pacific,High-income,JPN,6.874684359437,1.5104478712996936,2.4173468808996654,0.5561548482290097,1.7899229893678446,0.9039589777531823,high,28.7336,227.7,44355.34872,Japan,3
    Republic of Korea,High-income Asia Pacific,High-income,KOR,2.2066871438947997,0.5289487572009779,0.9458124880157812,0.20254498648055455,0.7583158218972851,0.39827036115885056,high,7.2547,139.93,48419.64325,Republic of Korea,3
    Singapore,High-income Asia Pacific,High-income,SGP,0.16794151902852114,0.099822941830447,0.02285053187518932,0.02012764618279022,0.02526289473332467,0.02676784835123669,mid,1.1604,204.66,132617.354,Singapore,3
  High-income North America,High-income North America,High-income,NA,49.67427028401684,10.744738265091348,15.854261984504106,3.2871960002975036,11.68833724377772,5.338766438504797,NA,NA,NA,NA,NA,2
    Canada,High-income North America,High-income,CAN,5.656112199049625,1.4396214333352932,2.30158797811008,0.5479099355646806,1.3452759716021483,0.6718092768628655,high,12.8291,342.52,56995.11768,Canada,3
    United States of America,High-income North America,High-income,USA,44.01815808496722,10.647858494270098,13.552674006394026,3.241211539977206,10.343061272175571,5.296328858787583,high,133.5058,405.46,71307.40173,United States of America,3
  Southern Latin America,Southern Latin America,High-income,NA,0.45263251889812994,0.271704130062129,0.06551050270928555,0.06546496851322771,0.0758295790457838,0.09428347813757226,NA,NA,NA,NA,NA,2
    Argentina,Southern Latin America,High-income,ARG,0.40594916634464673,0.2680020563440323,0.05768826731118513,0.0623722284085244,0.0733225848058728,0.09418003623541896,mid,1.106,24.55,26300.27426,Argentina,3
    Chile,Southern Latin America,High-income,CHL,0.02339824136940727,0.04094719378911551,0.00680851579524867,0.01985480017909783,0.00122656371989013,0.0040988782511075,low,0.4696,24.58,29089.85046,Chile,3
    Uruguay,Southern Latin America,High-income,URY,0.02328511118407592,0.01792650018785288,0.00101371960285175,0.00107430705147729,0.00128043052002087,0.00164140838789008,mid,0.1075,30.56,29431.88501,Uruguay,3
  Western Europe,Western Europe,High-income,NA,34.06028513037053,3.4751987213117452,13.147715113047791,1.9031782889678432,7.937896591795194,1.676599701860703,NA,NA,NA,NA,NA,2
    Andorra,Western Europe,High-income,AND,0.00186951785934886,0.00116145444817606,4.039550318256402e-4,3.659930979950024e-4,4.73740867634962e-4,5.255667763821306e-4,mid,0.0146,189.89,59332.20291,Andorra,3
