Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Azerbaijan,0.5891477251327707,0.21069778308796777,0.2016058272709838,0.12634340038095548,0.11618433528167084,0.096983014993312,0.11707230717093776,0.07627592420469828,0.02169148907581848,0.02495086632977159,0.02760654944448378,0.03639136507896574,0.00728897506933423,0.0157840279166926,0.00153402715941251,0.00619640351632113,4.7051215949203625e-4,0.00178382546844486,0.1268,12.61,20111.3757,low,0.00728897506933423,0.0157840279166926,0.00153402715941251,0.00619640351632113,4.7051215949203625e-4,0.00178382546844486
Bahamas,0.01573578832155305,0.00568231703944874,0.0014025103144919,7.444251991511467e-4,8.030409537924568e-4,5.967381970679417e-4,0.00367240070180687,0.0025615262898063,1.548313366254152e-4,1.625819542912239e-4,2.001720731711594e-4,2.4484802350389527e-4,2.841639482898081e-4,6.667847381003584e-4,1.0582309338218484e-5,3.7525448073634014e-5,3.553044131023304e-6,1.4388388005242576e-5,0.0329,75.3,31064.68222,high,0.01573578832155305,0.00568231703944874,0.0014025103144919,7.444251991511467e-4,8.030409537924568e-4,5.967381970679417e-4
Bahrain,0.23916360606632248,0.0657592278768668,0.09687740276560912,0.03732312543904507,0.05312781462008795,0.03402332981252303,0.04683895372613482,0.03051581473703129,0.01112406997124774,0.01006886472786561,0.01331339624768535,0.01497884512883434,0.00269984183069679,0.00500725953105329,7.31775527730439e-4,0.00220698982463624,2.3894509189307272e-4,8.297631464766701e-4,0.0625,41.36,54954.67579,low,0.00269984183069679,0.00500725953105329,7.31775527730439e-4,0.00220698982463624,2.3894509189307272e-4,8.297631464766701e-4
Bangladesh,3.956608387879617,2.3496036926004726,1.2225813933193412,1.1713647041356938,0.7353038653475311,0.8285433572902078,0.8237839232769089,0.7758186575875881,0.1238625440770767,0.1982941625940928,0.19582451805588072,0.35525356632591926,0.05028878419776056,0.14137317147410225,0.00869038799563872,0.05167703400399743,0.00306071025764187,0.01978225979761567,0.0125,0.08,7441.06914,low,0.05028878419776056,0.14137317147410225,0.00869038799563872,0.05167703400399743,0.00306071025764187,0.01978225979761567
Barbados,0.01550034806326331,0.00642082250106086,0.00574253427739677,0.00400517294248838,0.00354320131221894,0.0033240493275628,0.00309644269561818,0.00230234018524569,6.07607189311081e-4,7.58304721523003e-4,8.97725930997983e-4,0.00130757678105084,1.8624582278318656e-4,4.1724978154410777e-4,4.489243488489136e-5,1.8212638415559824e-4,1.363803951177236e-5,5.432510330674689e-5,0.0152,52.8,15683.88471,mid,0.00309644269561818,0.00230234018524569,6.07607189311081e-4,7.58304721523003e-4,8.97725930997983e-4,0.00130757678105084
Belarus,0.7413868359703589,0.2410762507759442,0.2803724334692204,0.15045432638906928,0.1587158863701549,0.11837201447183354,0.14514314710836676,0.09517436114670766,0.03056901845533791,0.03257700492450757,0.03870172305119387,0.0477166069309417,0.00880242160277849,0.01775439689116013,0.0020337633540223,0.00685442677248386,6.993112011867817e-4,0.00281561919986971,0.1371,14.47,27611.18011,low,0.00880242160277849,0.01775439689116013,0.0020337633540223,0.00685442677248386,6.993112011867817e-4,0.00281561919986971
Belgium,1.3156370866085787,0.3340700340295955,0.4299957564668905,0.16465243508321345,0.23438093485630543,0.14969232885629066,0.27140065031542554,0.1578186666703967,0.04960846924728503,0.04553719408812268,0.05893821060349723,0.0647914436902124,0.0171356446969354,0.03056150012713195,0.00325042652204291,0.00940805126691166,0.00106084761118197,0.00396911356734427,2.1221,185.2,60669.21377,high,1.3156370866085787,0.3340700340295955,0.4299957564668905,0.16465243508321345,0.23438093485630543,0.14969232885629066
Belize,0.01090272123485425,0.00543072117620937,0.00238035581814848,0.00190496270336609,0.00145275308080414,0.0014157066651353,0.0024375221410827,0.00191563332935856,2.385790020987995e-4,3.2688830479585306e-4,3.566479349669275e-4,5.559811745342489e-4,1.6410379835349846e-4,4.601445395343593e-4,1.6643690418208485e-5,6.162717098081188e-5,5.834229007360783e-6,3.11342549448192e-5,0.0057,14.08,11677.46101,mid,0.0024375221410827,0.00191563332935856,2.385790020987995e-4,3.2688830479585306e-4,3.566479349669275e-4,5.559811745342489e-4
Benin,0.4339617322438995,0.3307240939540585,0.1992615267117032,0.23506697057110143,0.1325821685654171,0.16877709738497967,0.07453891621920301,0.09297166657108556,0.01807125026247522,0.0366553148832273,0.03133886273589072,0.06422275632693314,0.00397367278464799,0.01740088765515573,0.0014588977017134,0.00901103927201343,5.585409650033126e-4,0.00376084554741964,0.0033,0.28,3464.288629,low,0.00397367278464799,0.01740088765515573,0.0014588977017134,0.00901103927201343,5.585409650033126e-4,0.00376084554741964
Bhutan,0.03096165807383454,0.01298954322737941,0.01021520023546673,0.00750573843143427,0.00595801801265665,0.00553050796530795,0.0062736878652905,0.00442771599501815,0.0010894706106347,0.00140765300615496,0.00148150365643176,0.00209026112763309,3.84221181962932e-4,8.453796417693533e-4,7.609269571030511e-5,3.1025156004293867e-4,2.409581333568181e-5,1.1219166737941922e-4,0,0.06,13458.81267,low,3.84221181962932e-4,8.453796417693533e-4,7.609269571030511e-5,3.1025156004293867e-4,2.409581333568181e-5,1.1219166737941922e-4
