Country,Severity,selected_Mean_total_billions,selected_SD_total_billions
Bangladesh,Stage_I_II,0.01739398950071359,0.0905048977722514
Barbados,Health,5.487288115147136e-4,7.474354138866211e-4
Barbados,Stage_III_IVT1_2,0.00112170971183995,0.00154057183164853
Barbados,Stage_IVT3,3.489555968199512e-4,8.405158277895659e-4
Barbados,Stage_IVT4,4.102475354986851e-4,0.00103799779890204
Barbados,Stage_I_II,6.66801039944878e-4,8.565258565382658e-4
Belarus,Health,0.00231400439270273,0.00948100716797049
Belarus,Stage_III_IVT1_2,0.00250352455731564,0.00944165181275609
Belarus,Stage_IVT3,6.382563581149815e-4,0.00337146584329506
Belarus,Stage_IVT4,0.00103417656611815,0.00722036116893721
Belarus,Stage_I_II,0.00231245972852697,0.00844063069928108
Belgium,Health,0.24833331272800535,0.1492840192109231
Belgium,Stage_III_IVT1_2,0.5308713086617836,0.2376126449778594
Belgium,Stage_IVT3,0.11864402671663932,0.1340404347876731
Belgium,Stage_IVT4,0.14198704616066166,0.16602979710249596
Belgium,Stage_I_II,0.275801392341489,0.16179553075857442
Belize,Health,7.616037752044024e-4,0.00116043661627477
Belize,Stage_III_IVT1_2,4.466060726681883e-4,6.732723104151208e-4
Belize,Stage_IVT3,1.2925615514160454e-4,3.145380115467521e-4
Belize,Stage_IVT4,1.6258942930629202e-4,4.206240931232724e-4
Belize,Stage_I_II,9.37466708762218e-4,0.00134809311239186
Benin,Health,4.948713951302467e-4,0.00682502640253309
Benin,Stage_III_IVT1_2,0.00178931402021893,0.01165605205642829
Benin,Stage_IVT3,3.3153984569529607e-4,0.00362622776452213
Benin,Stage_IVT4,7.243157965621047e-4,0.00801498429002255
Benin,Stage_I_II,6.336317270414117e-4,0.00606354244340121
Bhutan,Health,1.1953464382741494e-4,5.052437094443909e-4
Bhutan,Stage_III_IVT1_2,8.813666224366931e-5,3.7235665048639626e-4
Bhutan,Stage_IVT3,2.238492073771768e-5,1.3310787017716097e-4
Bhutan,Stage_IVT4,3.119119329241158e-5,1.7719377084693345e-4
Bhutan,Stage_I_II,1.2297376186171845e-4,5.077923147799206e-4
Bolivia,Health,0.00128426084692175,0.00576415994094605
Bolivia,Stage_III_IVT1_2,0.00153261428920088,0.00834745522972393
Bolivia,Stage_IVT3,4.074949189819464e-4,0.00305189558552373
Bolivia,Stage_IVT4,4.796077267495363e-4,0.00328391471447383
Bolivia,Stage_I_II,0.00144758180624985,0.0075764075752295
Bosnia and Herzegovina,Health,0.00688208358902771,0.00929602205267552
Bosnia and Herzegovina,Stage_III_IVT1_2,0.01043503384347071,0.01433090592202025
Bosnia and Herzegovina,Stage_IVT3,0.00307411538686532,0.0069542638302668
Bosnia and Herzegovina,Stage_IVT4,0.00402629970747381,0.0095915453135671
Bosnia and Herzegovina,Stage_I_II,0.00821492258411514,0.01034741360601829
Botswana,Health,0.00990321520763293,0.01013362580634137
Botswana,Stage_III_IVT1_2,0.00254780876662575,0.00291222263594035
Botswana,Stage_IVT3,6.257631263737026e-4,0.00117303839329701
Botswana,Stage_IVT4,8.574682725726925e-4,0.00159446483086018
Botswana,Stage_I_II,0.01230807440291885,0.01265812304453194
Brazil,Health,0.7442986747761506,0.774590418118053
Brazil,Stage_III_IVT1_2,0.5038735683923559,0.5595799364040407
Brazil,Stage_IVT3,0.13740415303934544,0.2583756865659249
Brazil,Stage_IVT4,0.15991746952762012,0.2795172970260913
Brazil,Stage_I_II,0.8803810093571028,0.8990763839810259
Brunei Darussalam,Health,2.84741582375322e-4,0.00103129769788662
Brunei Darussalam,Stage_III_IVT1_2,1.8535639296440783e-4,6.672337357014483e-4
Brunei Darussalam,Stage_IVT3,4.760813469256034e-5,2.359027344723623e-4
Brunei Darussalam,Stage_IVT4,5.9158144224682265e-5,2.7537508040610453e-4
Brunei Darussalam,Stage_I_II,2.8581539230868887e-4,9.29580513947604e-4
Bulgaria,Health,0.00159434988963518,0.00559082248382938
Bulgaria,Stage_III_IVT1_2,0.00247455459612417,0.01039440612418991
Bulgaria,Stage_IVT3,6.00162197351404e-4,0.00286231546596644
Bulgaria,Stage_IVT4,8.670784766974568e-4,0.00463899487728124
