Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Brunei Darussalam,8.626796465656613e-4,0.00159472765203785,1.4035704132007404e-4,4.3890894624157143e-4,4.557596287155651e-5,1.5670480902893566e-4,low,0.0091,20.35,78248.79711
Bulgaria,0.00713702177104634,0.01443906956377671,0.00191145318291442,0.00644408459832032,6.508844030024346e-4,0.00243703543060295,low,0.1094,15.72,30971.91319
Burkina Faso,0.00468363268147498,0.02264762680726367,0.0015992857112179,0.01112905384543648,5.722778360137243e-4,0.003855957437733,low,0.0046,0.23,2486.430931
Burundi,0.00139071500079973,0.01330439479054694,7.765786879286034e-4,0.00659928818566168,2.6765196605539046e-4,0.00205886833057228,low,0.0013,0.12,836.6655713
Cabo Verde,1.9601169572857087e-4,5.827422945467833e-4,4.2863006093560375e-5,2.1326569296815836e-4,1.4848204789306983e-5,8.757560186735592e-5,low,0.0034,6.12,7685.419214
Cambodia,0.0063705889599587,0.01770040335558642,0.00174504876965796,0.00848161124598982,5.039305406678713e-4,0.00257764116419255,low,1e-4,0.01,6225.532655
Cameroon,0.00794354600695474,0.02835412562211598,0.00207931536659716,0.01015091895892549,6.637406012706385e-4,0.00411320841434435,low,0.0066,0.26,4793.556282
Canada,6.055695680715099,1.4623931743289045,2.29435012174425,0.5467635914168393,1.35505296318476,0.683373288057454,high,12.8291,342.52,56995.11768
Central African Republic,8.447910717124406e-5,0.00406410312271129,3.170236969967143e-5,2.503653565194256e-4,1.0380897738819622e-5,8.816303946604968e-5,low,0.0011,0.22,1128.55238
Chad,0.00342816719200015,0.01661718624992653,0.00138225927708719,0.00944508441200215,4.731861694085786e-4,0.00385921263724949,low,0.0034,0.26,2435.072747
Chile,0.02825674209750344,0.05131290947188401,0.00662366128394749,0.01879721616797555,0.00129800399287837,0.00450540862443359,low,0.4696,24.58,29089.85046
China,27.533125052742665,6.41708924759794,8.476458851950161,2.1366584180992576,7.3096187504231,3.6859046251958993,high,61.5486,43.96,20843.29783
Colombia,0.03074694834140013,0.06484689984717924,0.00679466512987206,0.03109436007830154,0.00202450284658725,0.00845621604286904,low,0.7051,14,17383.09017
Comoros,2.8274726995839117e-4,0.00117684284668265,1.2842800575252363e-4,7.110385057608522e-4,3.961163397345523e-5,2.544957123306889e-4,low,3e-4,0.3,3449.043575
Congo,0.00125224972243671,0.00446052747383819,1.8949307573896832e-4,0.00109805256116993,6.54043145370789e-5,3.809092157164341e-4,low,0.0047,1.03,6263.211613
Costa Rica,0.06749758193331667,0.04595719044493152,0.01398669882402267,0.0150911034142058,0.01830773228208241,0.02403328646835377,mid,0.1617,31.84,23852.9253
Croatia,0.06885251397654607,0.0410133663235399,0.01271706772624629,0.01222046781885483,0.01576848375920947,0.0183049377679141,mid,0.1494,36.8,36930.47013
Cuba,0,0,0,0,0,0,high,0.3044,26.85,NA
Cyprus,0.0020056304122571,0.00351541702945273,4.906110659744273e-4,0.00146724450321775,1.6713131419337428e-4,6.114704027795491e-4,low,0.0126,14.41,48781.27734
Czechia,0.5273840144079113,0.1775915827610185,0.03418959012486394,0.01616811941080927,0.01882439692684451,0.01343882908504007,high,0.8438,79.32,47796.03374
Côte d'Ivoire,0.01068451526869604,0.03625442345075173,0.00341068335815977,0.01995076439930736,9.929260225488e-4,0.00579509563475557,low,0.0066,0.25,6045.204805
Democratic Republic of the Congo,0.01285618642759299,0.08672370378651807,0.00525449239981522,0.04441881715803047,0.00141856369448648,0.01234497009150213,low,0.0229,0.23,1313.618218
Denmark,0.92996554956245,0.23955164221520237,0.3528818858089957,0.12516474295734037,0.19115064562120052,0.11869910228639131,high,1.8676,321.67,69715.18097
Djibouti,3.69248740683028e-4,0.00116389342987947,8.116904649359647e-5,5.443701480385886e-4,2.911242673342988e-5,2.062643242061572e-4,low,8e-4,0.76,5960.108074
Dominica,5.484065896340279e-4,3.872612418724573e-4,8.204749845939759e-5,1.04823161019926e-4,1.14865711168167e-4,1.6850967541528203e-4,mid,0.0019,26.92,15808.97435
Dominican Republic,0.00599327472113896,0.0151943615467509,2.2550542430589145e-4,7.726348127719098e-4,7.373306182352512e-5,3.161058295787563e-4,low,0.0823,7.94,22053.45899
Ecuador,0.01034036487876006,0.02348475575616293,0.00263436929849017,0.01186379749956944,8.506998095721473e-4,0.00384761372307551,low,0.1257,7.28,13507.44456
Egypt,0.04623979453954653,0.11417250285549814,0.00362499551424459,0.01330706134377468,0.00119026410626391,0.00526781647800949,low,0.3293,3.32,15579.01609
El Salvador,0.00318051838888069,0.00758258796877922,7.923858159645294e-4,0.00328006436380592,2.757392719332545e-4,0.00131207165121128,low,0.0628,9.37,10809.7134
Equatorial Guinea,9.628831198044888e-4,0.00219568588552229,2.0130472173281492e-4,8.269563764870932e-4,7.208281822197233e-5,3.511705478817744e-4,low,0.0057,4.19,16821.44865
Eritrea,0,0,0,0,0,0,high,0.0024,0.39,NA
Estonia,0.029698034590441,0.01915359001186016,0.00654490039977134,0.00620259443682899,0.00797868243208972,0.00935918549432594,mid,0.149,113,44251.5375
Eswatini,5.509281907434303e-4,0.00150179326958554,1.629473169589579e-4,8.315261233439429e-4,4.780495625256113e-5,2.3599873769266996e-4,low,0.0138,12.18,9946.040554
Ethiopia,0.02337975208843297,0.1164129208162115,0.01047188703007785,0.06049884081405529,0.00310664114055656,0.02297329097899303,low,1e-4,0.01,2588.413102
Fiji,4.768020694614086e-4,0.00129891331371862,1.335571747403827e-4,5.744941352619761e-4,4.5316157304053976e-5,2.472335140037805e-4,low,0.0069,7.7,10685.19703
Finland,0.13242289305309798,0.07874135169449803,0.0264819815059896,0.02483885518371202,0.03159437307667682,0.03490819867335951,mid,0.5937,107.59,56790.37662
France,5.521144475742374,1.254128549501748,1.5686509148123873,0.3731905571562443,1.079460095169813,0.5816564893712083,high,12.666,195.39,52517.33549
Gabon,0.00124210540933559,0.00264199892280719,2.5194538421771185e-4,0.00102714188304883,8.620016032284881e-5,3.463999562184859e-4,low,0.0077,3.69,18523.5798
