Country,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,iso3c,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
Mozambique,low,0.00230228991946631,0.01961759626324169,5.186808796495798e-4,0.00465901470918643,2.3551642649405317e-4,0.00196512158847472,0.27265037447027973,0.46693310193365106,0.11053217807611491,0.1728169671087301,0.04026292587010225,0.06794246519675823,0.2128756412138817,0.4804505918571435,0.04897178701273994,0.08470153868187702,0.03974152190315172,0.07226645621762398,0.0546616485872238,0.10850637948632418,0.01014598270116713,0.02889860270273524,0.02000721937647903,0.0422272985426521,0.00230228991946631,0.01961759626324169,5.186808796495798e-4,0.00465901470918643,2.3551642649405317e-4,0.00196512158847472,0.27265037447027973,0.46693310193365106,0.11053217807611491,0.1728169671087301,0.04026292587010225,0.06794246519675823,0.0049,0.16,MOZ,31072654.145003386,1433510.733110607,0.0088362241852907,0.00110872121348605,0.0535332337529428,0.01040249544949345,1127.4491249963,1196.12286381751,1044.23695549865
Myanmar,low,0.01111475791157298,0.04192766011329249,0.00247981034658519,0.01425985316288291,6.471694451687045e-4,0.00360149722819787,1.0153978666739798,0.755169537073032,0.3018901569715949,0.33332583343319827,0.10038240731614276,0.14314646920923058,0.897071556026156,0.7903920523352242,0.14414329391125005,0.17218422180661705,0.1013954741310185,0.14569314893710286,0.18288296035364443,0.19279635635260975,0.031418747130644,0.05709053421572963,0.04749341010705556,0.08871442166900508,0.01111475791157298,0.04192766011329249,0.00247981034658519,0.01425985316288291,6.471694451687045e-4,0.00360149722819787,1.0153978666739798,0.755169537073032,0.3018901569715949,0.33332583343319827,0.10038240731614276,0.14314646920923058,4e-4,0.01,MMR,56419669.800016105,3185755.0984214097,0.0208452549877185,0.00245207219662974,0.0663888163680545,0.0109680779611585,4598.01067818968,5504.75463654514,3860.28778696559
Namibia,low,7.146703953466301e-4,0.00195207081925705,1.1155717301366123e-4,6.003436435430646e-4,3.3418343014060824e-5,1.6218130936263334e-4,0.06413787543094271,0.03546260328554695,0.01353125815679764,0.01236339231571481,0.00417444846155348,0.00518755569040283,0.06173453347501725,0.03807518838667428,0.00637616718133982,0.00634183558946711,0.00444965001580879,0.0055430199584003,0.0116385898635541,0.00992980137279754,0.00156032686030343,0.00229886115423696,0.00229713657351156,0.00379227405658088,7.146703953466301e-4,0.00195207081925705,1.1155717301366123e-4,6.003436435430646e-4,3.3418343014060824e-5,1.6218130936263334e-4,0.06413787543094271,0.03546260328554695,0.01353125815679764,0.01236339231571481,0.00417444846155348,0.00518755569040283,0.0028,1.13,NAM,2431170.480528513,148527.22692063544,0.0547587071755136,0.00776908798463315,0.0503934988967217,0.00871680791406019,8586.66098353743,9395.85975161371,7866.19586626648
Nepal,low,0.0059841774708949,0.02461307106817693,0.00199354612441135,0.01097190155481752,7.006359324784646e-4,0.00393462911577207,0.7040447901301272,0.5200554909244297,0.2918409792924621,0.33839814481315766,0.09884980433456622,0.14362355384495246,0.5683493544046911,0.47869273169271587,0.13547978626106091,0.17069004334032475,0.10014609496324878,0.14825584204509787,0.13720466869999512,0.14442949328493448,0.0286078350970077,0.05660783626377112,0.048835071850105403,0.08514260952414347,0.0059841774708949,0.02461307106817693,0.00199354612441135,0.01097190155481752,7.006359324784646e-4,0.00393462911577207,0.7040447901301272,0.5200554909244297,0.2918409792924621,0.33839814481315766,0.09884980433456622,0.14362355384495246,0.0891,3.13,NPL,31129811.76450214,2100644.9199356977,0.0096292603179526,0.00127660711235174,0.1165495126801512,0.018841741695874,3012.58525408193,3183.51935971812,2716.02314545218
Netherlands,high,1.756215397002811,0.4362629063343645,0.2981346647821489,0.14976901207883742,0.17807588989591844,0.14473354441406586,1.756215397002811,0.4362629063343645,0.2981346647821489,0.14976901207883742,0.17807588989591844,0.14473354441406586,1.756215397002811,0.4362629063343645,0.2981346647821489,0.14976901207883742,0.17807588989591844,0.14473354441406586,0.384239053827768,0.2343950329711877,0.079480499889617,0.07228967395875893,0.08994286623199327,0.0987577793532159,0.02209318077838197,0.04069697730226065,0.00477395457035174,0.01499502642652136,0.00167524329658589,0.00739779991082559,1.9363922321903977,0.4622487883981525,0.5826123354020584,0.2434066731948409,0.18215648529856504,0.14830630633559147,3.6785,213.48,NLD,17210661.798023704,841215.6196910329,0.1235982362189929,0.01378947714196215,0.133248525620886,0.01950021904505265,50854.5558228663,57134.8954317383,46558.0603758302
New Zealand,mid,0.09483034655321534,0.06049975492507457,0.02193593682245447,0.02045845708675095,0.02583735506395269,0.0290208317908293,0.4675353783332694,0.12037386242819764,0.1680198473423362,0.07564827818099755,0.05180265750664212,0.04382931167565569,0.4074759460104835,0.11241366490076936,0.08538817480580553,0.04549367450140024,0.05205256762785408,0.04507093959895734,0.09483034655321534,0.06049975492507457,0.02193593682245447,0.02045845708675095,0.02583735506395269,0.0290208317908293,0.00540392287567422,0.00982708877585592,0.00150442875968109,0.00481922171043839,4.261687681681214e-4,0.00175226159438516,0.4675353783332694,0.12037386242819764,0.1680198473423362,0.07564827818099755,0.05180265750664212,0.04382931167565569,0.5353,106.27,NZL,5169513.535649297,218964.19734071055,0.1041427473725236,0.01248980603764854,0.1727443401799636,0.01867430763224925,37847.9437624007,43285.6868110153,34654.9274916527
Nicaragua,low,0.00194955929138831,0.00573109211953431,6.060421712628062e-4,0.00272253973861214,2.1176745661940827e-4,0.00123717990741234,0.1902454529770253,0.11579386001768056,0.07510281538686181,0.0775579802722424,0.02499506364986274,0.03360025420329367,0.1594099537001742,0.10162862262824111,0.03792286731475427,0.03897741631018069,0.02487950800023264,0.03324979915341278,0.03795137540337534,0.03549354277698615,0.00842601812935739,0.01377401210680731,0.01259086985119313,0.02044376742218471,0.00194955929138831,0.00573109211953431,6.060421712628062e-4,0.00272253973861214,2.1176745661940827e-4,0.00123717990741234,0.1902454529770253,0.11579386001768056,0.07510281538686181,0.0775579802722424,0.02499506364986274,0.03360025420329367,0.0314,4.81,NIC,6668976.123793645,552903.270596853,0.0453895557818755,0.0048277580881512,0.1209033023083025,0.01702717169165269,5107.06421118468,5521.38950883788,4844.59174271744
Niger,low,0.00135388486173551,0.01723857292180529,4.764948055239679e-4,0.00341550471215693,1.2787828475583954e-4,8.977271019165659e-4,0.21017843972297265,0.3729265416224701,0.06933681641213434,0.10559671273505276,0.0238662382789879,0.04270851142898126,0.18200702562330728,0.40113798491803465,0.03233451086201557,0.05201501966031433,0.02443708429507446,0.0435881518146422,0.04179539878560576,0.08316211210953235,0.00616905704188194,0.01743047059321609,0.01262132638102559,0.02633660733797998,0.00135388486173551,0.01723857292180529,4.764948055239679e-4,0.00341550471215693,1.2787828475583954e-4,8.977271019165659e-4,0.21017843972297265,0.3729265416224701,0.06933681641213434,0.10559671273505276,0.0238662382789879,0.04270851142898126,1e-4,0.01,NER,25038186.779425785,1496375.8856467027,0.011532016157965,0.00134396362122895,0.0406684020553075,0.00839099346242264,1130.56457300736,1283.02302386495,894.457316025131
Nigeria,low,0.036366395076054,0.16634058803962382,0.00473839857776129,0.02597091919662223,0.00136257676887524,0.00777289851320241,3.9171061675629937,3.4746360644995113,0.6844501904502923,0.8045873364071107,0.23247171061710545,0.3232571150091412,3.846341819415945,3.749562761473584,0.3339619597743569,0.40064768848174,0.2337918226450912,0.3429699451401002,0.6926058557753983,0.8191017936655758,0.06780034985559492,0.1264451338334502,0.11276954084614046,0.20604803049934295,0.036366395076054,0.16634058803962382,0.00473839857776129,0.02597091919662223,0.00136257676887524,0.00777289851320241,3.9171061675629937,3.4746360644995113,0.6844501904502923,0.8045873364071107,0.23247171061710545,0.3232571150091412,0.1375,0.68,NGA,231165679.26551884,13414045.75754483,0.0095836975502565,8.367959472327501e-4,0.0327730228941567,0.0067907934792273,4777.84779522506,5048.92148418468,4616.01403704431
North Korea,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,PRK,NA,NA,NA,NA,NA,NA,NA,NA,NA
