Country,Pop,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,Prophy,Prophy_sd,Consult_simple,Consult_perio,OPG,PA,RootDeb,OHI,Extraction,OFD,GTR,Single_implant,Implant_surgery,Full_fixed,Denture,Denture_repair,Maintenance_simp,Maintenance_perio,Consult_simple_sd,Consult_perio_sd,OPG_sd,PA_sd,RootDeb_sd,OHI_sd,Extraction_sd,OFD_sd,GTR_sd,Single_implant_sd,Implant_surgery_sd,Full_fixed_sd,Denture_sd,Denture_repair_sd,Maintenance_simp_sd,Maintenance_perio_sd
Pakistan,235553608.3,0.01541475,0.001780197,0.2015656,0.020890838,9.582919826510446,3.137258686376987,5.230430202549016,22.32485758291726,13.730811690483163,3.1542333406017615,14.87413592257349,4.7086809321583,9.418590661657197,28.919198927040252,203.7232701236297,601.7993843827121,1052.4427375018115,2483.158871539525,55.33351132382151,7.207119069358942,10.36798809400648,34.616876178388495,27.94723271882052,59.575135440823104,43.818146109758786,8.665026222320588,57.383452318095394,16.777472936228293,42.82482421252284,217.4256207098552,272.03721143662864,776.5791629837714,1485.5634604081522,6661.501755991843,412.72958666710093,44.06087703040596,21.088011536476415,46.01110676474084
Palau,18096.84549,0.058080245,0.006929947,0.052640833,0.010674317,20.15280079404001,3.8208650388731735,14.344013152425308,35.868881865705475,24.109516078102075,5.50341822700924,39.25243951669909,9.508988716904575,22.2630421056296,92.49302168957324,235.05408582998743,832.1485171636307,1058.3467387876783,4435.364681895414,160.60980259103843,25.603153521553303,25.885482681034127,50.194635811643266,28.010426858136267,59.640647271641825,43.87044605457298,8.678573536324773,57.60349982038455,16.80668496696123,42.906755228694855,217.8209685046725,272.1140150822667,778.0323092770589,1485.5639599014355,6673.669516346319,413.3008326467851,44.224076888733585,21.329698945067697,46.123243127296206
Panama,4292001.105,0.053314244,0.005718319,0.050393499,0.008716808,32.78872675764749,4.877660809271948,25.23898536371101,52.060292971691986,36.516897073497745,8.311787251282977,68.39585563273826,15.247590121870012,37.61813815522308,168.49332104191538,272.5089889515215,1107.5229131991584,1065.4047674794335,6769.158994353677,286.4639561299731,47.59497443949783,44.43610906412283,68.8173069665377,28.132152611438094,59.767050932656986,43.97134384130149,8.704695118940297,58.02639560993468,16.862996285325227,43.06465213397064,218.58298523891727,272.2623832207542,780.8329739262736,1485.5649252139292,6697.122095668119,414.4025823408667,44.53777982376611,21.789184884880054,46.339187168256935
Papua New Guinea,10461571.55,0.014622765,0.001805394,0.139893263,0.019171554,7.821323339894037,2.9186218304595695,3.711543116279245,20.067584708747567,12.001077056666093,2.7627137146929552,10.811201430406069,3.908652497186922,7.277909928759097,18.323864583797647,198.5016167255739,563.4089593392744,1051.4587654065615,2157.8005342754063,37.78796418000347,4.1412009423514835,7.781812901535412,32.020657098571334,27.929616736376495,59.55688693076208,43.80357693429753,8.661251460062816,57.32205022317231,16.769332503779566,42.80199022215356,217.31544484549528,272.015828731807,776.17418523024,1485.5633213705785,6658.110816130358,412.57043551919935,44.01534151608005,21.020241696945288,45.97984414510304
Paraguay,7168840.816,0.042378408,0.004711528,0.039814345,0.008242287,19.918503816761586,3.809252063836608,14.141997165311375,35.5686586220009,23.87945681125171,5.45134508449758,38.71205851706192,9.402582825728771,21.97832592411657,91.08381428666551,234.3595921608328,827.0424894141156,1058.2158679047068,4392.091165211841,158.27619856098687,25.19537832717793,25.5415145618241,49.849331828934886,28.009250953243065,59.63942754629935,43.869472358180246,8.6783213643234145,57.59940836308929,16.806141256560274,42.90523041187497,217.8136103517164,272.1125845484055,778.0052642396703,1485.5639505966574,6673.443052759551,413.29019844325813,44.22104223558316,21.325221723684745,46.12115669407156
Peru,36270781.48,0.095233099,0.008763916,0.08950839,0.016685966,19.80361881265931,3.803588589641568,14.042940797713731,35.42144738186779,23.7666497229022,5.425811578856315,38.44708850301717,9.350407840860267,21.838718405227254,90.39282458571172,234.0190546560104,824.5388035972378,1058.151696774111,4370.872461498885,157.1319409112308,24.995430144223143,25.37285349224686,49.68001573305183,28.008678762641942,59.63883404234199,43.86899856839232,8.678198659618582,57.59741743340215,16.805876691155458,42.90448844568444,217.81002992584772,272.11188847537215,777.9921043036632,1485.563946069131,6673.3328571463935,413.2850239450151,44.219565556298534,21.323042853711932,46.12014144158248
Philippines,113249535.8,0.043643835,0.003629284,0.132049479,0.014579053,13.521087735066343,3.4704948426519096,8.626004856172912,27.371143529469876,17.597750275436983,4.0295019041111155,23.957100354656134,6.497198525417183,14.20422700278992,52.60578436700327,215.39662891950417,687.6237721187945,1054.6424735695591,3210.519406332456,94.5577668356826,14.061186087414782,16.14955738429009,40.420899257110065,27.976504414041116,59.60547125212856,43.84236465466952,8.671300201588485,57.48542183378564,16.791002142374595,42.86277134162781,217.60872514612385,272.07276822044116,777.2521939403042,1485.5636916345466,6667.1372391399755,412.9941271581767,44.13650083340997,21.200236447886635,46.06305107693956
Poland,38238455.52,0.131594182,0.013584018,0.069634029,0.012333033,40.28401268072066,6.131322269122237,31.70158510374695,61.66459550455867,43.876616367899544,9.977634999604554,85.68293354012177,18.651571630834592,46.7263614543644,213.5746214171771,294.72621378533614,1270.8674785380492,1069.591397193023,8153.501994454848,361.11720022917774,60.63992153904197,55.43983361852492,79.86376651048482,28.313926629190252,59.95633051067859,44.12239655102919,8.743767018597389,58.65559806345639,16.9471896557139,43.30063430426186,219.72209987088303,272.4849885444669,785.0190751351569,1485.5663745140498,6732.179926978486,416.0512493470407,45.004661450925305,22.46140488233769,46.66152479900552
Portugal,10607848.7,0.099136271,0.011691236,0.158021673,0.019920881,38.550691674342296,5.797052167828034,30.207077756037023,59.44355423906348,42.174645798002416,9.59239967633219,81.68521342866784,17.864384495431402,44.620040903391555,203.14935335705547,289.5883734276607,1233.0932602779997,1068.6232188869556,7833.36600141399,343.85327760908,57.62321462928561,52.89516926358243,77.30921948317386,28.26153175239443,59.90170860066896,44.07881021520719,8.732497005980054,58.47451534655151,16.922909005643714,43.2325907743122,219.3936143148111,272.4206959918882,783.8119964415351,1485.5659558077502,6722.0704124415215,415.5756171496736,44.87027718451439,22.269283267285154,46.56862982973653
Qatar,2977061.658,0.017704099,0.002373836,0.019108625,0.004165935,87.6115545199894,21.83331955991852,72.5084285952614,122.30911722480177,90.34814879587928,20.496310313089516,194.83886319209373,40.145358384144245,104.2384862346248,498.2318248349808,435.012608282703,2302.2753300378395,1096.027065554317,16894.669700345898,832.5007564809728,143.0097318413,124.9207366262553,149.61451139302173,33.58746214495101,65.69425586444086,48.68414829264607,9.906735197273209,76.00166951653482,19.43637313807252,50.23308641583093,253.30329606031117,279.4747121026419,908.184273511901,1485.6124837639195,7765.370733949285,465.4657518762705,57.926532013353466,38.09065809948286,55.955755782941296
