country,results,direct,perio_prev,Upper Perio Prevalence (%),Lower Perio Prevalence (%),decid_caries,Upper Deciduous,Lower Deciduous,perm_caries,Upper Permanent,Lower Permanent,edent,Upper Edentulism,Lower Edentulism,diab_prev,Upper Diabetes,Lower Diabetes,diab_death,Upper Diabetes Deaths,Lower Diabetes Deaths,smoking_agest,Upper Smoking,Lower Smoking,dentists,Upper Dentists,Lower Dentists,dent_personnel,Upper Dental Personnel,Lower Dental Personnel,gdp_usd,Upper GDP,Lower GDP,dent_exp,dent_exppc,adv_coverage,coverage
Burkina Faso,,,0.151701683,0.181244322,0.120818249,0.095380769,0.119810022,0.072578895,0.264082027,0.321522705,0.213820246,0.008930284,0.011051598,0.006835768,0.023822906,0.025821544,0.021881773,0.012813564,0.015258599,0.01050236,0.086803393,0.093631811,0.080326097,0.053,0.082,0.034,0.097,0.139,0.066,949,939,958,0.0046,0.23,Yes,50
Burundi,,,0.051240936,0.07246733,0.035550782,0.096995294,0.121223237,0.074018587,0.329545034,0.395876002,0.269727613,0.009923038,0.012492654,0.007517889,0.015481499,0.016739677,0.014202464,0.019188729,0.027454489,0.014219474,0.104054165,0.112235634,0.096898068,0.007,0.011,0.004,0.055,0.078,0.039,293,260,339,0.0013,0.12,No,63
Cabo Verde,,,0.260842053,0.299444029,0.222166706,0.063238585,0.081188018,0.046538737,0.332320551,0.404412979,0.272487435,0.021563489,0.026461348,0.016865893,0.065189548,0.07074032,0.059980592,0.040914371,0.045610704,0.03634094,0.406229435,0.423156061,0.388247724,0.133,0.202,0.083,0.348,0.493,0.244,3928,3832,4030,0.0034,6.12,No,
Cambodia,,,0.091638885,0.120478512,0.065318766,0.094687305,0.113642067,0.075584839,0.374518658,0.43734877,0.315388058,0.02903349,0.035819526,0.022504885,0.040550379,0.044110403,0.037394004,0.028548562,0.034864372,0.022049065,0.080620301,0.087672188,0.073872202,1.518,2.048,1.079,2.443,3.109,1.857,1812,1717,1937,0,0,,
Cameroon,0.0127,Indirect - based on case mix,0.169582864,0.201544427,0.137884896,0.107998896,0.137048307,0.083427601,0.28678723,0.346115878,0.225654391,0.012819664,0.015828984,0.009724209,0.028600648,0.031189994,0.026270991,0.021087057,0.025731895,0.016783103,0.170826845,0.186383088,0.155641362,0.423,0.624,0.282,0.787,1.077,0.56,1723,1620,1801,0.0066,0.26,,
Canada,0.0072,Direct - based on estimates,0.208782419,0.248468699,0.172606079,0.032844569,0.042529168,0.024231315,0.216679046,0.258404552,0.179574877,0.054249016,0.06639475,0.043004993,0.117987613,0.129115212,0.106839657,0.020638097,0.022428968,0.01827946,0.080350227,0.089136068,0.071835178,16.073,22.213,11.436,41.414,52.727,32.182,54795,54404,55217,12.8291,342.52,,
Central African Republic,,,0.051669785,0.074000755,0.035551528,0.085659562,0.108128367,0.0634771,0.290929176,0.351691969,0.240654063,0.026037895,0.032609876,0.01948196,0.042113267,0.045679615,0.038453621,0.016471385,0.019912295,0.013560072,0.093048619,0.100887529,0.0854403,0.07,0.108,0.044,0.199,0.278,0.144,552,549,554,0.0011,0.22,,
Chad,,,0.097117149,0.124466216,0.074232578,0.13132992,0.166684995,0.099593556,0.254431123,0.30875719,0.206287932,0.013184156,0.016448396,0.009987344,0.022535426,0.024534607,0.020644384,0.010242983,0.012101588,0.008760484,0.344110321,0.366982721,0.322192215,0.033,0.05,0.02,0.064,0.091,0.043,730,681,801,0.0034,0.26,Yes,
Chile,,,0.180777409,0.219282094,0.143266672,0.055134629,0.066919193,0.043866758,0.492254271,0.506428906,0.478405335,0.059358341,0.073086921,0.046007771,0.092339134,0.101740778,0.08413347,0.021987899,0.023675409,0.019652566,0.497344149,0.510936396,0.482873313,6.446,7.783,5.358,14.756,16.847,12.854,17075,15878,18204,0.4696,24.58,No,80
China,,,0.16155079,0.18968054,0.133804629,0.057101495,0.067371396,0.047547151,0.217569878,0.260784708,0.185060642,0.04888938,0.06003507,0.039507851,0.086035525,0.093963932,0.078794737,0.015255518,0.016479081,0.013840699,0.121858547,0.131700726,0.113199982,4.438,6.553,2.951,5.025,7.285,3.439,14214,13958,14418,61.5486,43.96,No,95
Colombia,,,0.168840481,0.206023798,0.132207231,0.048585538,0.05651427,0.040757882,0.354682789,0.42494954,0.292205665,0.057076219,0.069197009,0.045720463,0.071038104,0.07691435,0.065916862,0.020326861,0.022223341,0.018086153,0.129159602,0.138649885,0.119910123,16.552,23.947,11.197,20.157,28.913,13.936,6777,6704,6863,0.7051,14,Yes,96
