LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
  High-income Asia Pacific,High-income Asia Pacific,High-income,NA,9.695533139936716,1.665082851082243,3.774119205355291,0.6311783288663079,2.9176983102580625,1.1068851127926551,NA,NA,NA,NA,NA,2
    Brunei Darussalam,High-income Asia Pacific,High-income,BRN,7.790724257736711e-4,0.00143458236901292,1.6573641761112088e-4,5.576653740522923e-4,5.435009237279e-5,1.7096472919171792e-4,low,0.0091,20.35,78248.79711,Brunei Darussalam,3
    Japan,High-income Asia Pacific,High-income,JPN,6.8553376263232115,1.534447421643785,2.585931961344092,0.5836950702175927,1.9431621451181889,0.992049880855748,high,28.7336,227.7,44355.34872,Japan,3
    Republic of Korea,High-income Asia Pacific,High-income,KOR,2.5482574509463127,0.6216152673562275,1.1255184027540772,0.2338717221131981,0.9055950739509948,0.4854886222623119,high,7.2547,139.93,48419.64325,Republic of Korea,3
    Singapore,High-income Asia Pacific,High-income,SGP,0.2911589902414172,0.17766376260223668,0.06250310483951103,0.05467956144010533,0.06888674109650599,0.073023662199376893,mid,1.1604,204.66,132617.354,Singapore,3
  High-income North America,High-income North America,High-income,NA,68.3593504460377,15.664358347057636,24.12605370568745,4.968151424939015,18.151747613341797,8.767000295048168,NA,NA,NA,NA,NA,2
    Canada,High-income North America,High-income,CAN,6.041594581057514,1.5679236592914338,2.4215758543533856,0.5613681603312248,1.4338710299155113,0.7360731798709296,high,12.8291,342.52,56995.11768,Canada,3
    United States of America,High-income North America,High-income,USA,62.317755864980185,15.585690161929575,21.704477851334065,4.936334102316202,16.717876583426285,8.736045469618928,high,133.5058,405.46,71307.40173,United States of America,3
  Southern Latin America,Southern Latin America,High-income,NA,0.7606355277142528,0.47274495137138667,0.17189365999477374,0.16002738607410907,0.21822737377306173,0.25369494159321754,NA,NA,NA,NA,NA,2
    Argentina,Southern Latin America,High-income,ARG,0.6738395813627728,0.4685927914119266,0.1490089057372899,0.15790141050001272,0.19653923809127577,0.25242407403765443,mid,1.106,24.55,26300.27426,Argentina,3
    Chile,Southern Latin America,High-income,CHL,0.02481458354319154,0.04256554702353284,0.00734999029260428,0.02077005571407834,0.00145209339458891,0.00478204892881818,low,0.4696,24.58,29089.85046,Chile,3
    Uruguay,Southern Latin America,High-income,URY,0.0619813628082885,0.0457903820741958,0.01553476396487958,0.01563693197057882,0.02023604228719706,0.02490667067797709,mid,0.1075,30.56,29431.88501,Uruguay,3
  Western Europe,Western Europe,High-income,NA,36.20140999766072,3.4939036564340027,14.005989102951899,1.8466123179193428,8.890386757118387,1.8040197376008273,NA,NA,NA,NA,NA,2
    Andorra,Western Europe,High-income,AND,0.0018480776751346,0.0012103702966819,4.292345243829054e-4,3.809927904060704e-4,5.223262561461101e-4,5.973364478111511e-4,mid,0.0146,189.89,59332.20291,Andorra,3
    Austria,Western Europe,High-income,AUT,0.9260079046025044,0.25454031353861756,0.3596620091580484,0.13571000181558898,0.197370176063294,0.12286262767836202,high,2.1157,236.39,62968.94223,Austria,3
    Belgium,Western Europe,High-income,BEL,1.6249095705741412,0.47184782098111855,0.7101599127974199,0.26938506783125565,0.3844844693324837,0.24753763113434624,high,2.1221,185.2,60669.21377,Belgium,3
    Cyprus,Western Europe,High-income,CYP,0.00150738313352425,0.00283799785629307,3.553676334210903e-4,0.00132096388358137,1.2225771224940558e-4,4.760626978557109e-4,low,0.0126,14.41,48781.27734,Cyprus,3
    Denmark,Western Europe,High-income,DNK,1.082058601696969,0.3137225142840553,0.4995662681095367,0.16908794411866304,0.2714141896178128,0.16877152438702173,high,1.8676,321.67,69715.18097,Denmark,3
    Finland,Western Europe,High-income,FIN,0.13955511705390086,0.0950541914257796,0.03413710849997416,0.03060183623534958,0.0410073213450877,0.04814979044851372,mid,0.5937,107.59,56790.37662,Finland,3
    France,Western Europe,High-income,FRA,4.830248589286938,1.168251718573324,1.664074859106204,0.3814724528953686,1.141672317878703,0.6127028294528578,high,12.666,195.39,52517.33549,France,3
    Germany,Western Europe,High-income,DEU,11.826398859272254,2.5173458001111557,6.026861920755584,1.645632485460803,1.952044311311587,1.0421633097657226,high,30.8773,372.15,62530.76532,Germany,3
    Greece,Western Europe,High-income,GRC,0.13893774363685407,0.09384878444707398,0.03059814911127417,0.03082658915549158,0.03899169872828791,0.04929679038482536,mid,0.8265,77.14,33531.15511,Greece,3
    Iceland,Western Europe,High-income,ISL,0.03598352129710607,0.00983182236467079,0.01327136917217126,0.00517269771218836,0.00719518342402575,0.00443250118218219,high,0.1455,407.54,61610.21327,Iceland,3
    Republic of Ireland,Western Europe,High-income,IRL,0.14377669019179906,0.08524062721732949,0.0219160549096234,0.01953923958169462,0.02448256751992533,0.02603850153959066,mid,0.5148,104,116903.6124,Republic of Ireland,3
    Israel,Western Europe,High-income,ISR,0.8075897422921829,0.23704908961162477,0.27934399836829255,0.12196668578921258,0.15246552111293848,0.10561681544899064,high,1.8272,201.81,46162.08227,Israel,3
    Italy,Western Europe,High-income,ITA,4.061184006151472,1.3370158515518324,0.960476358983676,0.3898550575129691,1.5975653719692942,0.8354911624806626,high,19.123,316.82,49825.39341,Italy,3
